Feature_ID;Feature_Name;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;Coordinate_System;Ethnicity;Feature_Type;Feature_Type_Code;Quad;
5732;Stygis Catena;65.38;23.25;150.57;23.77;22.75;150.76;150.33;Planetocentric  +East  0 - 360;Greek;Catena;CA;mc15;
5733;Stygis Fossae;385;26.92;149.83;28.69;24.1;151.29;146.28;Planetocentric  +East  0 - 360;Greek;Fossa;FO;mc15;
5734;Styx;0;29.71;160;29.71;29.71;160;160;Planetocentric  +East  0 - 360;Greek;Albedo Feature;AL;mc15;
5735;Styx Dorsum;90.67;30.81;151.86;31.51;30.2;152.03;151.45;Planetocentric  +East  0 - 360;Greek;Dorsum;DO;mc07;
5739;Suata;23.9;-18.91;106.67;-18.71;-19.11;106.88;106.46;Planetocentric  +East  0 - 360;Venezuela;Crater;AA;mc22;
5741;Subur Vallis;26.2;11.63;306.85;11.72;11.5;307.04;306.74;Planetocentric  +East  0 - 360;Mauritania;Vallis;VA;mc10;
5742;Sucre;13.56;23.69;305.41;23.81;23.58;305.54;305.29;Planetocentric  +East  0 - 360;Colombia;Crater;AA;mc10;
5747;Suess;71.9;-66.88;181.51;-66.27;-67.49;183.07;179.96;Planetocentric  +East  0 - 360;Austria;Crater;AA;mc30;
5803;Suf;9.41;16.34;321.78;16.42;16.26;321.86;321.7;Planetocentric  +East  0 - 360;Jordan;Crater;AA;mc11;
5751;Sulak;25;18.17;281.39;18.38;17.96;281.62;281.17;Planetocentric  +East  0 - 360;Russia;Crater;AA;mc10;
5752;Sulci Gordii;400;19.02;234.27;22.11;15.9;236.18;232.62;Planetocentric  +East  0 - 360;Greek;Sulcus;SU;mc09;
5760;Sumgin;78.6;-36.53;311.33;-35.87;-37.2;312.16;310.51;Planetocentric  +East  0 - 360;Russia;Crater;AA;mc26;
14543;Sungari Vallis;344.82;-40.33;88.5;-39.1;-41.18;91.36;85.45;Planetocentric  +East  0 - 360;China;Vallis;VA;mc28;
