id,pdes,name,name_ru,diameter,q,per,class,horizons,begin_time,end_time
a0001491,1491,Balduinus,Balduinus,21.941,2.7942943,2124.891712,OMB,DES=+2001491,1998-07-18-18-39-00,2000-01-01-00-00-00
a0002934,2934,Aristophanes,Aristophanes,21.941,3.005432784,2060.65957,MBA,DES=+2002934,1998-08-03-20-02-34,2000-01-01-00-00-00
a0002321,2321,Luznice,Luznice,21.933,2.81235927,1902.077449,MBA,DES=+2002321,1998-09-12-11-32-08,2000-01-01-00-00-00
a0006350,6350,Schluter,Schluter,21.93,2.802032226,2013.569125,MBA,DES=+2006350,1998-08-15-14-35-07,2000-01-01-00-00-00
a0001207,1207,Ostenia,Ostenia,21.925,2.758828888,1918.410048,MBA,DES=+2001207,1998-09-08-09-32-23,2000-01-01-00-00-00
a0002342,2342,Lebedev,Лебедев,21.925,2.781580656,2109.816932,OMB,DES=+2002342,1998-07-22-13-05-55,2000-01-01-00-00-00
a0004746,4746,Doi,Doi,21.925,2.657073373,2104.168727,OMB,DES=+2004746,1998-07-23-22-59-16,2000-01-01-00-00-00
a0021593,21593,,,21.922,4.836175545,4195.274226,GRK,DES=+2021593,1997-02-16-04-21-18,2000-01-01-00-00-00
a0022009,22009,,,21.915,5.079645271,4353.397138,GRK,DES=+2022009,1997-01-07-15-37-03,2000-01-01-00-00-00
a0103989,103989,,,21.913,4.964993152,4515.001362,GRK,DES=+2103989,1996-11-28-05-59-32,2000-01-01-00-00-00
a0002882,2882,Tedesco,Tedesco,21.912,2.542030822,2044.461452,MBA,DES=+2002882,1998-08-07-21-13-53,2000-01-01-00-00-00
a0000658,658,Asteria,Asteria,21.894,2.666589775,1760.243689,MBA,DES=+2000658,1998-10-17-22-32-17,2000-01-01-00-00-00
a0016467,16467,,,21.886,3.005981667,2037.523328,MBA,DES=+2016467,1998-08-09-14-51-37,2000-01-01-00-00-00
a0005362,5362,Johnyoung,Johnyoung,21.882,3.296054654,2274.19468,OMB,DES=+2005362,1998-06-11-10-49-55,2000-01-01-00-00-00
a0003622,3622,Ilinsky,Ильинский,21.88,3.243362884,2281.200211,OMB,DES=+2003622,1998-06-09-16-47-56,2000-01-01-00-00-00
a0000622,622,Esther,Esther,21.874,1.82722302,1370.234009,MBA,DES=+2000622,1999-01-23-10-35-45,2000-01-01-00-00-00
a0001782,1782,Schneller,Schneller,21.872,2.636096974,2008.204548,MBA,DES=+2001782,1998-08-16-22-46-22,2000-01-01-00-00-00
a0003649,3649,Guillermina,Guillermina,21.854,2.995965983,2036.139951,MBA,DES=+2003649,1998-08-09-23-09-38,2000-01-01-00-00-00
a0024357,24357,,,21.845,4.996330707,4488.11386,GRK,DES=+2024357,1996-12-04-23-19-02,2000-01-01-00-00-00
a0000933,933,Susi,Susi,21.82,1.976066557,1331.729728,MBA,DES=+2000933,1999-02-02-01-37-17,2000-01-01-00-00-00
a0004368,4368,Pillmore,Pillmore,21.82,3.115953892,2077.681935,MBA,DES=+2004368,1998-07-30-13-54-31,2000-01-01-00-00-00
a0048767,48767,Skamander,Скамандр,21.815,4.870385965,4355.111325,TJN,DES=+2048767,1997-01-07-05-19-57,2000-01-01-00-00-00
a0129133,129133,,,21.802,4.951305123,4307.292296,TJN,DES=+2129133,1997-01-19-04-14-48,2000-01-01-00-00-00
a0001080,1080,Orchis,Orchis,21.797,1.792487383,1373.995669,MBA,DES=+2001080,1999-01-22-12-01-33,2000-01-01-00-00-00
a0038701,38701,,,21.793,3.397126048,2876.85904,OMB,DES=+2038701,1998-01-11-18-50-45,2000-01-01-00-00-00
a0065210,65210,Stichius,Стихий,21.791,4.868071517,4269.982098,GRK,DES=+2065210,1997-01-28-12-06-28,2000-01-01-00-00-00
a0010314,10314,,,21.783,3.029650594,2106.134957,OMB,DES=+2010314,1998-07-23-11-11-25,2000-01-01-00-00-00
a0001849,1849,Kresak,Kresak,21.776,2.9958711,1947.581331,MBA,DES=+2001849,1998-09-01-02-30-44,2000-01-01-00-00-00
a0002879,2879,Shimizu,Shimizu,21.762,2.377373407,1683.259241,MBA,DES=+2002879,1998-11-06-04-26-41,2000-01-01-00-00-00
a0023687,23687,,,21.746,2.2036982,2045.962,MBA,DES=+2023687,1998-08-07-12-13-41,2000-01-01-00-00-00
a0114694,114694,,,21.731,4.324058259,4347.165289,GRK,DES=+2114694,1997-01-09-05-00-31,2000-01-01-00-00-00
a0024420,24420,,,21.723,4.985582857,4445.074896,GRK,DES=+2024420,1996-12-15-17-33-04,2000-01-01-00-00-00
a0009714,9714,,,21.717,2.937409953,2004.859388,MBA,DES=+2009714,1998-08-17-18-50-38,2000-01-01-00-00-00
a0037685,37685,,,21.699,4.569439081,4373.959344,GRK,DES=+2037685,1997-01-02-12-14-40,2000-01-01-00-00-00
a0010388,10388,Zhuguangya,Zhuguangya,21.698,2.946998456,2105.655354,OMB,DES=+2010388,1998-07-23-14-04-05,2000-01-01-00-00-00
a0001253,1253,Frisia,Frisia,21.682,2.500966003,2056.624667,MBA,DES=+2001253,1998-08-04-20-15-08,2000-01-01-00-00-00
a0001287,1287,Lorcia,Lorcia,21.678,2.821712041,1908.173965,MBA,DES=+2001287,1998-09-10-22-57-23,2000-01-01-00-00-00
a0003543,3543,Ningbo,Ningbo,21.677,2.634097285,2072.383039,MBA,DES=+2003543,1998-07-31-21-42-07,2000-01-01-00-00-00
a0009228,9228,Nakahiroshi,Nakahiroshi,21.676,3.015559748,1980.260578,MBA,DES=+2009228,1998-08-23-22-26-12,2000-01-01-00-00-00
a0066187,66187,,,21.658,3.35329031,2911.115898,OMB,DES=+2066187,1998-01-03-05-18-17,2000-01-01-00-00-00
a0022041,22041,,,21.644,4.86873288,4269.787769,GRK,DES=+2022041,1997-01-28-13-16-26,2000-01-01-00-00-00
a0013650,13650,Perimedes,Perimedes,21.64,4.711797089,4351.822494,GRK,DES=+2013650,1997-01-08-01-03-56,2000-01-01-00-00-00
a0011221,11221,,,21.635,2.862515233,2110.163981,OMB,DES=+2011221,1998-07-22-11-00-59,2000-01-01-00-00-00
a0017414,17414,,,21.627,4.955322611,4242.82572,TJN,DES=+2017414,1997-02-04-07-02-46,2000-01-01-00-00-00
a0030020,30020,,,21.625,5.027986012,4425.804406,GRK,DES=+2030020,1996-12-20-13-10-26,2000-01-01-00-00-00
a0006546,6546,Kaye,Kaye,21.624,2.886993718,2114.32027,OMB,DES=+2006546,1998-07-21-10-04-43,2000-01-01-00-00-00
