full_name;name_plain;horizons;radius;diameter;end_time;begin_time;class;number;name;name_ru;index;state_index
Saturn I (Mimas);mimas;mimas;198.2;396.4;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;1;Mimas;Мимас;57;6
Saturn II (Enceladus);enceladus;enceladus;252.1;504.2;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;2;Enceladus;Энцелад;58;6
Saturn III (Tethys);tethys;tethys;533;1066;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;3;Tethys;Тефия;59;6
Saturn IV (Dione);dione;dione;561.7;1123.4;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;4;Dione;Диона;60;6
Saturn V (Rhea);rhea;rhea;764.3;1528.6;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;5;Rhea;Рея;61;6
Saturn VI (Titan);titan;606;2574.73;5149.46;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;6;Titan;Титан;62;6
Saturn VII (Hyperion);hyperion;hyperion;135;270;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;7;Hyperion;Гиперион;63;6
Saturn VIII (Iapetus);iapetus;iapetus;735.6;1471.2;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;8;Iapetus;Япет;64;6
Saturn IX (Phoebe);phoebe;phoebe;106.5;213;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;9;Phoebe;Феба;65;6
Saturn X (Janus);janus;janus;89.5;179;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;10;Janus;Янус;66;6
Saturn XI (Epimetheus);epimetheus;epimetheus;58.1;116.2;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;11;Epimetheus;Эпиметей;67;6
Saturn XII (Helene);helene;helene;17.6;35.2;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;12;Helene;Елена;68;6
Saturn XIII (Telesto);telesto;telesto;12.4;24.8;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;13;Telesto;Телесто;69;6
Saturn XIV (Calypso);calypso;calypso;10.7;21.4;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;14;Calypso;Калипсо;70;6
Saturn XV (Atlas);atlas;atlas;15.1;30.2;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;15;Atlas;Атлас;71;6
Saturn XVI (Prometheus);prometheus;prometheus;43.1;86.2;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;16;Prometheus;Прометей;72;6
Saturn XVII (Pandora);pandora;pandora;40.7;81.4;2000-01-01-00-00-00;1970-07-30-00-00-23;Saturn;17;Pandora;Пандора;73;6
