Feature_ID;Feature_Name;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;Coordinate_System;Continent;Ethnicity;Feature_Type;Feature_Type_Code;Quad;
1336;Crocco;67.5;-46.98;150.51;-45.87;-48.1;152.16;148.88;Planetocentric  +East  0 - 360;Europe;Italy;"Crater; craters";AA;LAC-118;
8454;Crocco E;14.16;-46.37;152.27;-46.13;-46.6;152.61;151.93;Planetocentric  +East  0 - 360;Europe;Italy;Satellite Feature;SF;LAC-118;
8455;Crocco G;40.18;-47.43;152.52;-46.77;-48.1;153.5;151.53;Planetocentric  +East  0 - 360;Europe;Italy;Satellite Feature;SF;LAC-118;
8456;Crocco R;48.1;-47.86;147.78;-47.07;-48.66;148.97;146.6;Planetocentric  +East  0 - 360;Europe;Italy;Satellite Feature;SF;LAC-118;
1337;Crommelin;93.48;-67.46;212.05;-65.92;-69;216.07;208.02;Planetocentric  +East  0 - 360;Europe;Great Britain;"Crater; craters";AA;LAC-142;
8457;Crommelin C;41.58;-65.46;215.91;-64.77;-66.14;217.56;214.26;Planetocentric  +East  0 - 360;Europe;Great Britain;Satellite Feature;SF;LAC-142;
8458;Crommelin W;22.3;-65.62;206.33;-65.25;-65.99;207.22;205.44;Planetocentric  +East  0 - 360;Europe;Great Britain;Satellite Feature;SF;LAC-142;
8459;Crommelin X;26.74;-65.97;209.29;-65.53;-66.41;210.37;208.2;Planetocentric  +East  0 - 360;Europe;Great Britain;Satellite Feature;SF;LAC-142;
1339;Crookes;48.25;-10.4;194.9;-9.6;-11.19;195.71;194.09;Planetocentric  +East  0 - 360;Europe;Great Britain;"Crater; craters";AA;LAC-87;
8460;Crookes D;40.14;-9.6;196.72;-8.94;-10.26;197.39;196.05;Planetocentric  +East  0 - 360;Europe;Great Britain;Satellite Feature;SF;LAC-87;
8461;Crookes P;20.38;-11.64;194.32;-11.31;-11.98;194.66;193.98;Planetocentric  +East  0 - 360;Europe;Great Britain;Satellite Feature;SF;LAC-87;
8462;Crookes X;22.54;-7.13;193.32;-6.78;-7.47;193.67;192.97;Planetocentric  +East  0 - 360;Europe;Great Britain;Satellite Feature;SF;LAC-87;
1340;Crozier;22.51;-13.56;50.72;-13.19;-13.93;51.1;50.34;Planetocentric  +East  0 - 360;Europe;Great Britain;"Crater; craters";AA;LAC-80;
8463;Crozier B;8.86;-12.55;52.39;-12.41;-12.7;52.54;52.24;Planetocentric  +East  0 - 360;Europe;Great Britain;Satellite Feature;SF;LAC-80;
8464;Crozier D;19.37;-13.46;51.59;-13.14;-13.78;51.92;51.27;Planetocentric  +East  0 - 360;Europe;Great Britain;Satellite Feature;SF;LAC-80;
8465;Crozier E;6.03;-12.67;51.95;-12.57;-12.77;52.06;51.85;Planetocentric  +East  0 - 360;Europe;Great Britain;Satellite Feature;SF;LAC-80;
8466;Crozier F;4.64;-12.79;51;-12.71;-12.86;51.08;50.92;Planetocentric  +East  0 - 360;Europe;Great Britain;Satellite Feature;SF;LAC-80;
