StarID,ColorIndex,X,Y,Z
81103,1.200,-7.7875,-20.50452,13.23006
81104,0.463,-25.33093,-66.69808,35.62225
81105,0.400,-36.46922,-96.04837,16.51752
81106,1.007,-68.31855,-179.95917,14.68497
81107,0.576,-6.92814,-18.25291,-43.01317
81108,0.016,-68.24272,-179.79384,23.97792
81109,1.175,-1987762.56035,-5237083.93038,-8283824.71505
81110,0.790,-62.89757,-165.71683,-24.16133
81111,0.484,-77.59976,-204.51993,239.92486
81112,1.007,-29.73867,-78.38843,35.36064
81113,1.527,-23.96963,-63.19723,133.07231
81114,1.543,-257.57528,-679.27177,-113.58815
81115,1.466,-535.25332,-1411.91685,-2155.27316
81116,-0.174,-3431624.055,-9054052.79369,2499616.84145
81117,1.487,-79.79384,-210.5744,374.14148
81118,0.330,-16.69764,-44.06616,128.22716
81119,0.261,-83.66395,-220.83436,-10.98252
81120,0.445,-29.18123,-77.02704,-25.43459
81121,1.172,-6.63822,-17.52543,-211.93901
81122,0.005,-59.70857,-157.68994,-134.97148
81123,0.559,-16.10218,-42.53935,-86.41681
81124,0.511,-21.44104,-56.65861,30.54017
81125,0.817,-9.3866,-24.80524,-40.15511
81126,0.284,-187.07757,-494.55838,19.00923
81127,0.637,-61.61343,-162.89837,-48.66264
81128,0.519,-49.18038,-130.0415,-87.36888
81129,0.828,-7.1271,-18.84629,0.08937
81130,1.607,-43.79424,-115.80921,-160.66815
81131,0.038,-48.82658,-129.14565,-25.75671
81132,1.058,-11.94355,-31.59409,20.46894
81133,1.032,-53.20379,-140.82099,117.29702
81134,0.659,-37.77363,-99.98431,-86.58363
81135,0.966,-143.05397,-378.74226,-0.31749
81136,0.397,-133.48106,-353.46017,-403.1001
81137,1.920,-135.29233,-358.30577,-76.81698
81138,1.276,-317.76451,-841.67719,253.06904
81139,1.363,-7.79833,-20.65679,-14.41973
81140,0.600,-44.69047,-118.38354,13.21626
81141,0.915,-20.05066,-53.11526,8.49147
81142,1.286,-82.09455,-217.49671,223.63795
81143,0.215,-61.79291,-163.71866,218.72492
81144,0.835,-1.85346,-4.91102,-46.41124
81145,1.115,-174.1511,-461.80875,62.63139
81146,0.734,-59.95972,-159.0172,-98.57142
81147,0.744,-30.86888,-81.89126,-27.52694
81148,0.521,-23.36483,-61.99751,-122.28741
81149,0.499,-13.80238,-36.62443,-72.2491
81150,1.184,-19.56784,-51.93433,290.60604
81151,0.249,-28.19956,-74.84843,-134.51034
81152,1.418,-90.5102,-240.30133,196.96712
81153,0.653,-132.46427,-351.91141,-484.75773
81154,0.641,-43.85784,-116.52573,-26.16898
81155,0.090,-38.73005,-102.90704,104.57862
81156,0.502,-114.08491,-303.32607,-237.2038
81157,1.150,-45.99759,-122.31422,12.07093
81158,0.576,-25.19755,-67.00739,-46.29156
81159,0.429,-140.93033,-374.8178,-132.98272
81160,0.965,-8.61028,-22.90933,-21.19038
