# StarID X Y Z
4319 81.99671 20.22376 45.96846
4321 86.59924 21.36701 75.865
4356 72.27366 18.01159 38.29506
4426 31.70681 8.01593 26.01355
4432 118.6968 30.04486 -58.04302
4456 82.6802 21.09042 121.64577
4460 27.47597 7.01511 127.60604
4486 119.86792 30.79312 -42.61068
4509 36.52572 9.42997 145.80134
4531 54.4673 14.12733 -15.79844
4544 98.71734 25.65614 104.14556
4548 118.24809 30.75447 47.89369
4562 44.76532 11.68482 105.65464
4620 82.72583 21.94857 72.21276
4685 100.53818 27.09406 74.79665
4699 34.2653 9.26384 102.98714
4700 113.18247 30.60433 90.91838
4842 57.03502 15.93509 -36.36364
4853 108.51692 30.3658 92.81019
4893 76.14768 21.44165 69.60949
4901 67.32824 18.99631 76.01402
4968 137.78136 39.36877 16.99784
5025 82.31607 23.7949 100.76992
5121 65.29865 19.24386 26.7788
5122 60.84974 17.93635 24.94481
5164 138.93533 41.27238 -49.44922
5176 30.48178 9.08384 61.78657
5178 93.12213 27.75636 -106.39746
5205 105.87193 31.71267 17.24493
5220 94.30277 28.33627 14.98398
5222 35.11474 10.55438 106.075
5241 75.19761 22.69566 118.10985
5247 62.64781 18.91884 -29.13158
5289 43.48106 13.25141 -40.19716
5299 44.21131 13.50659 17.50453
5306 41.45493 12.67641 41.77801
5310 43.76805 13.39452 -85.62069
5352 57.02122 17.58659 -63.25131
5431 112.58866 35.28329 -24.38802
5506 33.61656 10.70489 90.85664
5530 22.93101 7.35118 34.58282
5583 117.0779 37.89467 90.75657
5592 92.20502 29.90231 106.89535
5614 14.22449 4.6407 82.12051
5618 88.54123 28.90386 117.19763
5649 55.07333 18.0955 -45.0576
5662 45.59177 15.01136 60.56573
5690 72.76276 24.12391 89.06142
5725 42.57204 14.18866 5.96796
5817 117.95141 39.91034 -38.64034
5873 126.63644 43.35348 2.1318
5894 86.93061 29.88813 -40.8761
5978 113.57292 39.69415 63.92841
5979 39.00532 13.63298 -94.56635
6035 95.862 33.80812 -13.67043
6048 63.45631 22.40867 4.25107
6062 69.58993 24.63824 -94.84929
6083 132.39559 47.05103 6.25925
6095 75.99063 27.06761 -34.2631
6126 104.6257 37.45297 84.9211
6179 79.69521 28.79668 43.66944
6212 113.65736 41.25834 -1.07418
6242 28.48294 10.40057 -97.64992
6288 104.00446 38.30969 -2.53574
6298 29.37135 10.84824 66.11341
6332 24.70197 9.177 95.54054
6335 75.63348 28.10792 89.86448
6355 30.61558 11.41847 -74.73504
6379 102.51908 38.40882 -82.65205
6493 76.26411 29.11572 -36.94925
6500 47.88862 18.30507 39.64575
6519 90.97709 34.91022 81.54697
6592 101.13448 39.23457 -13.29228
6610 90.79116 35.31114 -10.14673
6634 107.95669 42.15375 42.98482
6672 14.08244 5.53374 26.45755
6681 132.05751 51.99902 26.06618
6765 50.98572 20.38038 116.21646
6780 39.0487 15.66669 36.70517
6836 91.52054 37.02816 108.70021
6874 67.29116 27.43541 -48.58144
6883 78.04094 31.84727 -38.94327
6946 58.38615 24.06553 -25.04081
6953 120.51043 49.7238 54.87094
6967 101.86548 42.13182 36.57547
6989 120.88029 50.1468 74.06871
6990 114.17131 47.37075 67.10063
7036 32.38653 13.55868 79.22362
7037 98.85116 41.39335 72.75995
7094 76.26377 32.20181 -28.54167
7099 85.72955 36.21963 -20.22069
7101 63.14776 26.69098 -69.94869
7111 128.71236 54.50008 -25.29384
7134 87.7219 37.29304 -41.73991
7146 123.60631 52.66453 3.68737
7208 112.57356 48.39947 -19.44013
7248 50.63637 21.90297 47.79279
7269 1.55261 0.67355 98.50763
7284 32.87749 14.29511 -68.79899
7317 94.52998 41.29785 83.07622
7331 54.0375 23.67264 -16.55656
7350 74.47093 32.71379 18.11992
7368 131.94307 58.12901 -5.87994
7369 46.72171 20.58802 -121.08163
7448 102.20091 45.57755 82.91802
7629 121.37519 55.60793 33.10975
7648 62.04892 28.48887 66.26731
7669 115.74086 53.3228 51.27597
7709 96.52395 44.7121 1.13646
7810 54.21586 25.47141 56.44361
7872 53.48219 25.35589 136.05066
7896 82.39799 39.16375 -108.87461
7926 67.44614 32.18831 -55.97333
7942 113.11523 54.05795 5.05283
7950 45.9463 21.99917 126.35763
7972 85.21504 40.91845 17.08462
7993 70.17621 33.782 -109.98757
8100 38.17336 18.67999 66.80404
8107 54.2858 26.5883 38.53302
8123 98.40896 48.34037 82.43571
8136 67.60252 33.26263 36.41666
8153 83.21653 41.0514 -56.60861
8179 69.76855 34.53529 55.96529
8196 113.8375 56.59037 8.148
8226 30.3267 15.13724 -45.84304
8281 86.00438 43.33676 -23.81321
8398 84.64899 43.38938 27.82643
8438 86.37183 44.48701 2.25827
8450 121.20189 62.54072 62.79989
8459 60.53943 31.26659 75.40042
8515 127.11239 66.18248 -16.87745
8576 42.37367 22.27215 -57.46835
8604 99.98953 52.73092 51.87925
8633 75.15878 39.74444 -6.27327
8661 47.52205 25.18538 55.32714
8662 40.62852 21.53291 47.29462
8738 134.57113 72.02813 3.34993
8753 83.28806 44.68001 118.71545
8765 105.65638 56.76719 -77.22818
8813 52.0289 28.11122 20.70282
8828 36.49949 19.77798 60.62384
8847 28.74563 15.62401 -147.47175
8858 73.1707 39.86573 109.20286
8863 61.36483 33.44596 -64.03318
8884 14.98444 8.19007 6.48963
8922 44.3804 24.38811 85.99836
8952 129.25261 71.35492 9.23168
8967 98.70247 54.60263 66.0592
9056 68.36768 38.22397 -73.49825
9093 107.74495 60.58977 -89.99947
9098 117.55504 66.18482 -16.15297
9134 92.84559 52.49183 108.91262
9146 130.99629 74.10644 -5.41224
9168 50.95635 28.92025 99.97024
9259 36.70447 21.03095 99.87003
9266 105.54433 60.52265 -60.48091
9276 69.91518 40.13458 17.56966
9293 29.27626 16.84023 71.19757
9339 83.55808 48.3625 -5.68217
9384 39.54842 23.0194 79.12896
9460 10.09924 5.94648 33.85844
9467 36.6961 21.62572 2.0562
9501 103.5714 61.29542 -68.55097
9543 82.11799 48.79244 -3.96626
9544 31.73696 18.85806 78.8146
9550 81.55412 48.50328 62.29189
9565 26.60685 15.85695 106.96431
9566 104.25931 62.14026 -56.04959
9568 75.94804 45.27117 0.19822
9576 54.11479 32.33366 104.22099
9577 12.8857 7.69945 47.38084
9669 36.83226 22.27666 92.74746
9778 86.12903 52.79478 89.48044
9814 45.15502 27.82444 22.13075
9836 52.67211 32.53703 34.69956
9858 31.83088 19.72696 138.4986
9902 109.10526 68.03438 -35.28654
9928 55.03419 34.42089 -58.20207
9932 79.68664 49.86326 -49.08296
9954 40.57426 25.47335 37.24046
10031 8.74984 5.5434 67.65798
10041 26.36625 16.72317 21.85198
10076 74.43894 47.35696 5.81258
10106 103.97139 66.40771 81.23024
10144 101.89781 65.39188 -27.7892
10171 105.7235 68.04806 -33.85573
10197 105.92624 68.40661 77.35084
10219 97.64612 63.24472 7.0192
10230 99.8925 64.80914 89.61913
10261 19.13726 12.48611 125.65312
10285 18.83315 12.32795 123.75577
10296 73.22756 47.96792 -52.02654
10307 53.40159 35.04913 105.46962
10331 64.58339 42.5398 66.7305
10408 82.24714 54.64324 67.76499
10525 109.28573 73.63033 26.47402
10530 98.9977 66.71553 89.2122
10535 62.22575 41.94741 49.40546
10540 93.67626 63.18017 -89.75273
10645 24.73358 16.89013 20.08589
10664 46.54365 31.85865 90.33366
10704 119.96278 82.52486 34.76847
10705 85.88557 59.08974 59.81857
10706 91.99738 63.30241 40.42738
10714 90.95938 62.64237 -45.94129
10766 77.46599 53.71494 51.48718
10767 43.37835 30.07871 107.98046
10769 79.43892 55.09126 41.3697
10788 78.3328 54.43295 100.42124
10793 43.531 30.2776 57.62416
10802 53.69562 37.37513 115.56938
10836 44.85949 31.34804 -136.0315
10959 80.61139 57.28466 97.52124
10975 12.30271 8.75524 -38.6487
11049 83.26944 59.69909 31.07131
11075 31.28012 22.50001 -47.73979
11083 84.08656 60.51445 98.06849
11085 110.99138 79.89746 43.37659
11106 75.72167 54.64941 97.17438
11111 37.26254 26.9081 59.00547
11138 27.33616 19.80329 116.2643
11229 86.54398 63.39055 -97.13401
11312 91.94295 67.95911 -50.52772
11321 50.86601 37.64102 -17.35991
11370 73.81596 55.04627 70.78519
11409 86.8095 65.10652 94.48868
11429 56.11303 42.20025 -131.96131
11449 31.07758 23.42463 -26.0635
11452 40.88027 30.82572 -106.38434
11498 111.43339 84.42851 -23.96111
11542 13.27264 10.09883 40.07058
11551 59.17293 45.08876 32.2996
11595 62.79417 48.14962 -33.07335
11608 92.33052 70.92551 76.78885
11615 74.12263 56.97541 87.72794
11616 72.4489 55.69623 73.87426
11637 94.6197 72.89397 -10.51507
11651 51.56442 39.79585 23.52128
11660 66.66711 51.50478 0.37623
11662 75.5537 58.38865 69.6737
11691 62.48201 48.49281 83.04031
