# StarID X Y Z
26736 0.59829 7.40064 10.03075
26779 1.62862 20.67095 5.68697
26792 0.44003 5.6335 1.25201
27123 0.39491 6.36494 12.11522
27255 0.76084 13.71961 -15.54434
27292 0.64956 12.05921 -8.88038
27569 4.53184 115.86087 88.348
27734 0.61019 19.98531 -2.0994
27859 0.89592 37.78977 -6.25348
27919 2.738 129.93909 16.89611
28081 0.21655 16.19148 -17.324
28298 0.01146 7.08214 11.59952
28964 -0.38948 11.81804 36.72353
29059 -1.17841 31.10258 5.19637
29204 -0.05809 1.28847 9.3069
29222 -0.24725 5.35301 -2.15016
29243 -0.50477 10.59293 1.93113
29476 -0.65699 11.07122 22.14245
29582 -6.4167 98.7032 40.98431
29802 -2.38255 31.26819 10.18271
29885 -2.40636 29.96059 -7.42148
30270 -6.56655 65.3273 27.21441
30847 -0.52576 4.07838 -0.20201
30876 -4.94061 37.84249 -4.27604
31067 -3.37759 24.00242 16.67442
31073 -3.36805 23.85731 -12.29352
31223 -1.25332 8.42633 -13.91836
31555 -1.51609 9.26131 2.97047
31654 -6.23932 36.93452 12.51897
31795 -1.81245 10.32256 -19.28527
31979 -20.81706 112.48473 -18.46117
32190 -21.78887 111.34193 97.32184
32228 -1.35794 6.86356 21.3922
32444 -6.17723 29.52756 -9.95269
32683 -1.75538 7.92697 14.2541
32852 -4.11421 17.92391 -17.68923
32934 -11.95225 50.95609 -20.84689
33056 -1.20984 5.03351 9.29113
33154 -11.25296 46.03014 10.20967
33341 -3.94653 15.51762 9.52857
33412 -1.43309 5.56222 -5.60346
33675 -9.06486 33.40286 -7.4237
33718 -3.01738 11.04744 19.70297
33936 -9.89445 34.75347 29.97405
34016 -4.19085 14.54423 -2.80715
34027 -1.5682 5.43109 14.19711
34134 -6.02676 20.44273 11.08096
34251 -7.71324 25.56562 1.60899
34271 -4.64678 15.34731 -6.30261
34301 -2.00045 6.55877 16.31344
34511 -1.49674 4.74446 3.96176
34622 -3.09712 9.62817 -23.96797
34692 -7.70077 23.67195 -11.55077
34711 -5.74811 17.61621 31.1654
34828 -13.63356 41.02153 -42.68873
34931 -30.00687 88.7802 43.47123
35110 -40.26418 115.97585 -64.95012
35256 -3.74003 10.5412 9.14671
35398 -5.64783 15.61976 10.71678
35601 -43.09486 115.34173 45.89843
35657 -10.75342 28.56455 22.09378
35723 -3.99524 10.51065 11.67973
35839 -1.85226 4.79351 -29.7065
35845 -8.25914 21.3565 -7.39233
35937 -10.13269 25.85281 26.87007
36079 -22.26177 55.74779 26.92306
36107 -1.40787 3.51092 0.34656
36114 -6.77927 16.8896 7.36937
36244 -12.5546 30.74275 -14.88302
36246 -5.08413 12.44935 -7.84123
36393 -29.74503 71.35682 -107.98074
36443 -9.59896 22.8719 -18.84737
36444 -7.4176 17.67282 143.86679
36522 -3.615 8.52069 6.7818
36524 -3.59673 8.477 6.7445
36531 -3.52 8.28875 23.00373
36727 -2.09447 4.7902 10.23496
36809 -3.04957 6.90073 10.71477
37071 -10.43035 22.79968 17.19907
37111 -4.22218 9.19258 -3.92843
37166 -22.35586 48.3665 -30.18054
37182 -6.24172 13.47968 0.56657
37285 -3.38072 7.20739 152.93229
37421 -18.53877 38.80118 -14.66359
37659 -2.61083 5.31334 0.36764
37691 -10.89342 22.08506 0.91927
37838 -35.62916 70.95302 60.96114
37864 -34.87181 69.18715 -14.72004
37870 -12.72306 25.22833 -7.012
37974 -6.02966 11.80102 4.92069
38128 -15.98919 30.71649 -23.7961
38296 -60.38129 113.41816 7.35811
38380 -14.58916 27.15336 12.80356
38481 -8.44444 15.52289 -8.35448
38846 -3.02379 5.33318 5.38702
