# StarID X Y Z
2921 57.42289 9.38695 15.74311
2958 136.08295 22.56057 -65.97309
2960 101.11478 16.80251 94.00689
2969 130.70093 21.78679 45.36838
2974 136.05043 22.7352 -14.49277
2975 31.90812 5.33218 35.19075
2984 133.02471 22.27129 63.39354
3000 68.61648 11.55777 -133.56377
3001 3.69014 0.62157 40.14856
3004 16.66162 2.81068 -58.78171
3008 93.0149 15.71287 33.78539
3013 132.66946 22.45296 3.00185
3014 55.06586 9.32765 -57.63595
3015 79.91042 13.54235 63.36685
3020 101.9387 17.30215 -15.09858
3029 56.42726 9.59529 -25.00532
3030 14.46642 2.46053 -141.69231
3046 103.92665 17.74457 42.05123
3054 131.92516 22.57311 -45.74107
3078 41.8129 7.21996 -67.82
3084 128.72444 22.30063 -4.48811
3085 105.17792 18.22623 95.86255
3100 70.45259 12.28449 93.41495
3103 81.49911 14.21994 61.869
3106 106.09288 18.52297 102.69115
3109 74.12626 12.94952 -4.05302
3113 47.92281 8.38042 9.92653
3116 69.92902 12.24462 -13.99323
3122 83.72045 14.66653 -75.62009
3126 4.15744 0.72925 32.03328
3131 60.11523 10.56369 120.97596
3132 115.45606 20.31953 46.03317
3133 101.73319 17.90782 -51.90983
3136 33.8657 5.96532 -23.16049
3141 41.16299 7.26015 -143.51383
3157 54.95573 9.76957 28.03201
3162 57.32796 10.21311 -7.82798
3176 103.57126 18.51336 -3.25289
3184 117.40717 21.05111 68.88396
3194 141.68915 25.48293 -28.9419
3197 74.00341 13.3152 -38.93439
3203 26.90072 4.8472 -36.55106
3207 48.2829 8.70426 29.61489
3229 32.37076 5.88263 5.42035
3234 42.20582 7.67697 -98.72521
3253 109.11689 19.98137 -8.21017
3260 19.15797 3.51401 43.47825
3265 54.50845 10.02852 20.32288
3266 84.46941 15.5433 101.75356
3283 53.52634 9.91986 -80.04883
3285 39.60964 7.34376 -53.8483
3286 36.58265 6.78413 31.98945
3305 81.96474 15.25202 52.31325
3308 128.36848 23.90835 -55.40429
3311 40.87741 7.6329 -42.3916
3315 110.52094 20.6609 28.02193
3318 60.66508 11.34957 4.49617
3323 16.59577 3.11118 -36.99595
3349 11.01101 2.07649 134.48678
3350 113.88211 21.47898 7.67785
3351 96.64249 18.23436 -33.99795
3362 39.53759 7.47892 -7.03844
3366 125.15648 23.69757 48.3276
3378 116.55192 22.14384 -7.99688
