# StarID X Y Z
2123 46.0452 5.44809 35.3007
2126 34.10794 4.04147 60.46709
2138 53.57486 6.37177 -7.46353
2151 107.17422 12.79481 10.65468
2164 128.06339 15.36662 -69.28467
2188 38.59472 4.69124 -24.66106
2219 70.32736 8.70559 -99.79877
2224 50.08259 6.2056 -61.49911
2226 48.5795 6.02576 99.19873
2227 103.07626 12.79549 -101.67519
2230 60.13742 7.47772 -62.46741
2231 30.00683 3.73127 -11.20621
2236 121.63657 15.18991 -5.38055
2248 101.96531 12.83579 -77.47283
2264 112.84761 14.32821 85.40768
2276 30.55543 3.90996 -37.51756
2282 82.29221 10.55274 -38.56541
2286 55.17807 7.0855 -5.75868
2288 91.66142 11.77846 -62.5748
2299 43.62237 5.62541 38.02168
2305 42.75205 5.52866 -8.39264
2310 109.00953 14.13038 37.92195
2312 52.62361 6.82466 -38.30444
2332 88.36689 11.58659 -86.31499
2335 82.96027 10.88875 83.69074
2344 52.9771 6.97431 -5.39321
2354 132.74292 17.56707 61.32501
2362 79.5425 10.54875 -27.93235
2408 32.00056 4.32086 35.27647
2410 31.17641 4.21537 -47.70291
2411 52.87713 7.15341 -47.0258
2434 70.05232 9.55381 103.65445
2438 83.44815 11.38913 -14.9777
2477 63.24482 8.75587 -12.72709
2505 55.74942 7.79798 -29.71514
2507 128.75763 18.02627 -62.60236
2526 70.2094 9.90395 -15.45322
2557 49.01359 7.01178 26.54561
2561 141.91185 20.31381 -46.88211
2567 124.29844 17.83294 53.80266
2568 77.18689 11.08226 -55.4677
2570 16.76876 2.41088 80.47294
2574 72.23303 10.39197 -59.78595
2577 125.41402 18.08258 68.1704
2580 70.68067 10.19572 -16.82528
2595 74.30615 10.78759 -41.74761
2603 126.40524 18.40575 17.01128
2625 93.48841 13.72054 -81.35618
2633 54.68976 8.04335 8.90675
2639 57.40274 8.46103 -45.51762
2670 108.46742 16.15917 -57.3657
2674 112.96331 16.86307 4.01867
2686 99.10578 14.8841 -72.88083
2687 128.78943 19.3431 35.37477
2689 138.00923 20.736 25.36099
2707 98.85482 14.9927 -7.95073
2709 98.85435 14.99934 -7.94396
2720 43.6589 6.67891 -73.17395
2737 91.55645 14.10249 -46.68371
2741 35.81095 5.51946 -41.58638
2753 74.63428 11.56079 4.23438
2755 47.54524 7.36907 -82.71907
2759 76.06052 11.79722 -43.03414
2761 89.33778 13.85933 19.1938
2774 91.83476 14.33029 19.48601
2784 22.14711 3.46512 -18.64092
2799 72.80427 11.43681 -10.6326
2822 40.46972 6.38867 9.15612
2838 45.18715 7.16448 26.40831
2849 100.30165 15.95675 -76.35721
2857 99.74547 15.92733 -79.75514
2867 81.63936 13.07837 12.90922
2868 75.28321 12.06813 -38.13941
2875 36.3464 5.83876 -66.5416
2876 35.14174 5.65103 137.93174
2879 77.93472 12.53625 18.62036
2883 28.34489 4.56894 -33.18205
2888 36.04463 5.82536 41.74933
2896 65.18596 10.55207 -30.09475
2903 58.55603 9.49822 -27.02937
2907 54.80053 8.90351 -118.34303
2913 135.36835 22.01782 -14.68314
2933 91.17298 14.97695 -65.71075
2938 35.21974 5.79407 -27.17907
2949 66.28079 10.94893 96.74932
2973 53.74634 8.97627 -54.21092
2994 66.52821 11.1728 5.18697
2995 41.88735 7.03516 -95.591
2997 72.89344 12.26233 -30.26134
3005 120.84013 20.39199 -78.54718
3010 100.78425 17.04299 -101.561
3017 58.34793 9.89651 -94.47737
3018 95.00053 16.12297 -37.53821
3025 44.44943 7.54964 25.31389
3027 67.10672 11.40251 7.1807
3039 73.696 12.56181 80.04815
3043 116.92735 19.9621 -60.88747
3047 2.98419 0.50958 -37.72884
3048 51.25884 8.7604 31.26982
3049 77.42082 13.23466 1.29764
3051 89.86776 15.3694 15.65568
3066 84.07547 14.44069 -1.7334
3067 116.78368 20.06235 8.01015
3080 45.15488 7.80233 2.50837
3095 59.77373 10.39753 30.56348
3112 111.70986 19.52712 -44.85194
3138 136.79422 24.10475 -44.22611
3142 50.05349 8.83268 -54.33875
3163 12.74388 2.27065 -21.93673
3167 64.53675 11.51223 19.51821
