id;spkid;full_name;pdes;name;diameter;q;per;class;horizons;begin_time;end_time;;name_ru
a0000145;2000145;145Adeona;145;Adeona;127.783;2.288946903;1597.597408;MBA;DES=+2000145;1998-11-27-14-24-56;2000-01-01-00-00-00;;Адеона
a0000146;2000146;146Lucina;146;Lucina;160.31;2.535240407;1636.78463;MBA;DES=+2000146;1998-11-17-19-17-32;2000-01-01-00-00-00;;Луцина
a0000147;2000147;147Protogeneia;147;Protogeneia;132.93;3.06114424;2033.605377;MBA;DES=+2000147;1998-08-10-14-22-04;2000-01-01-00-00-00;;Протогенея
a0000148;2000148;148Gallia;148;Gallia;97.75;2.253095502;1685.283152;MBA;DES=+2000148;1998-11-05-16-18-04;2000-01-01-00-00-00;;Галлия
a0000149;2000149;149Medusa;149;Medusa;23.719;2.034302975;1171.787015;MBA;DES=+2000149;1999-03-14-01-16-40;2000-01-01-00-00-00;;Medusa
a0000150;2000150;150Nuwa;150;Nuwa;119.128;2.615771065;1882.011064;MBA;DES=+2000150;1998-09-17-11-56-02;2000-01-01-00-00-00;;Nuwa
a0000151;2000151;151Abundantia;151;Abundantia;39.037;2.505289572;1523.804551;MBA;DES=+2000151;1998-12-16-01-10-22;2000-01-01-00-00-00;;Abundantia
a0000152;2000152;152Atala;152;Atala;58.964;2.883692022;2029.516284;MBA;DES=+2000152;1998-08-11-14-54-09;2000-01-01-00-00-00;;Atala
a0000153;2000153;153Hilda;153;Hilda;170.63;3.421535376;2899.74895;OMB;DES=+2000153;1998-01-06-01-30-23;2000-01-01-00-00-00;;Хильда
a0000154;2000154;154Bertha;154;Bertha;192.611;2.950174444;2087.24787;MBA;DES=+2000154;1998-07-28-04-30-47;2000-01-01-00-00-00;;Берта
a0000155;2000155;155Scylla;155;Scylla;39.605;1.992201154;1671.150402;MBA;DES=+2000155;1998-11-09-05-05-52;2000-01-01-00-00-00;;Scylla
a0000156;2000156;156Xanthippe;156;Xanthippe;143.346;2.107469306;1644.938026;MBA;DES=+2000156;1998-11-15-18-22-19;2000-01-01-00-00-00;;Ксантиппа
a0000158;2000158;158Koronis;158;Koronis;39.025;2.722866698;1776.792539;MBA;DES=+2000158;1998-10-13-19-14-42;2000-01-01-00-00-00;;Koronis
a0000159;2000159;159Aemilia;159;Aemilia;125.236;2.770644681;1996.20762;MBA;DES=+2000159;1998-08-19-22-45-16;2000-01-01-00-00-00;;Эмилия
a0000160;2000160;160Una;160;Una;81.24;2.545043161;1645.513138;MBA;DES=+2000160;1998-11-15-14-55-17;2000-01-01-00-00-00;;Уна
a0000161;2000161;161Athor;161;Athor;40.992;2.051356907;1340.298344;MBA;DES=+2000161;1999-01-30-22-12-35;2000-01-01-00-00-00;;Athor
a0000162;2000162;162Laurentia;162;Laurentia;97.021;2.471434251;1913.868613;MBA;DES=+2000162;1998-09-09-12-47-18;2000-01-01-00-00-00;;Лаврентия
a0000163;2000163;163Erigone;163;Erigone;69.389;1.914204612;1330.418726;MBA;DES=+2000163;1999-02-02-09-29-15;2000-01-01-00-00-00;;Erigone
a0000164;2000164;164Eva;164;Eva;100.254;1.720352401;1559.889474;MBA;DES=+2000164;1998-12-07-00-39-48;2000-01-01-00-00-00;;Ева
a0000165;2000165;165Loreley;165;Loreley;180.083;2.858739129;2018.936699;MBA;DES=+2000165;1998-08-14-06-22-48;2000-01-01-00-00-00;;Loreley
