id;hip;hd;hr;gl;bf;proper;ra;dec;dist;pmra;pmdec;rv;mag;absmag;spect;ci;x;y;z;vx;vy;vz;rarad;decrad;pmrarad;pmdecrad;bayer;flam;con;comp;comp_primary;base;lum;var;var_min;var_max;greek_letters;spect_desig;color;linecolor
111724;112078;214983;;;;;22.701674;-5.101968;210.9705;68.82;-53.26;0;6.28;-0.341;;1.569;198.112347;-70.057572;-18.761294;1.89E-05;6.80E-05;-5.43E-05;5.943284314;-0.089046146;3.34E-07;-2.58E-07;;;Aqr;1;111724;;119.2339688;;6.517;6.177;;M;#FF2620;#FF2620
111744;112098;215159;8648;;;;22.705781;53.908748;384.6154;-2.95;-8.36;9;6.14;-1.785;;1.634;213.68527;-75.306208;310.800014;1.52E-05;-1.12E-05;-1.74E-06;5.944359446;0.940885147;-1.43E-08;-4.05E-08;;;Lac;1;111744;;450.8167045;;;;;K;#F99220;#F99220
111748;112102;214966;8637;;;;22.706135;-29.361046;211.4165;16.24;-19.19;-9;6.12;-0.506;;1.522;173.789147;-61.227997;-103.659864;-1.11E-05;2.16E-05;-1.26E-05;5.944452209;-0.512446921;7.87E-08;-9.30E-08;;19;PsA;1;111748;;138.8033667;;;;;M;#FF2620;#FF2620
111763;112117;214953;8635;;;;22.710245;-47.210813;23.6351;6.15;-331.43;17.3;5.99;4.122;;0.584;15.148896;-5.318822;-17.344922;-1.47E-05;5.91E-06;-3.88E-05;5.945528143;-0.823984134;2.98E-08;-1.61E-06;;;Gru;1;111763;;1.95523967;;;;;G;#FFD423;#FFD423
111768;112122;214952;8636;;;;22.711115;-46.884577;54.2594;135.68;-4.51;2;2.07;-1.602;;1.61;34.993484;-12.277259;-39.608199;1.23E-05;3.35E-05;-2.30E-06;5.945755998;-0.818290234;6.58E-07;-2.19E-08;Bet;;Gru;1;111768;;380.8903765;;2.191;1.971;;M;#FF2620;#FF2620
111773;112127;214987;8639;;;;22.711965;-44.248036;108.5776;33.74;35.43;6;6.06;0.881;;0.956;73.396789;-25.732667;-75.761785;2.23E-05;1.10E-05;9.08E-06;5.945978498;-0.772273915;1.64E-07;1.72E-07;;;Gru;1;111773;;38.69011317;;;;;K;#F99220;#F99220
111790;112144;215191;8651;;;;22.715402;37.802735;321.5434;-1.12;-5.3;-18;6.43;-1.106;;-0.119;239.827126;-83.840491;197.088245;-9.53E-06;1.48E-06;-1.78E-05;5.946878308;0.659782184;-5.43E-09;-2.57E-08;;;Lac;1;111790;;241.2126056;;;;;B;#93C2F1;#93C2F1
111804;112158;215182;8650;;;Matar;22.716704;30.221245;65.703;13.11;-26.11;4;2.93;-1.158;;0.852;53.59916;-18.717064;33.070991;8.67E-06;1.40E-06;-5.13E-06;5.947219325;0.527460231;6.36E-08;-1.27E-07;Eta;44;Peg;1;111804;;253.0463049;;;;;G;#FFD423;#FFD423
111814;112168;215114;8645;;;;22.717615;-8.311441;146.6276;17.25;-3.96;5;6.45;0.619;;0.166;136.987489;-47.800015;-21.195581;8.43E-06;1.00E-05;-3.52E-06;5.947457714;-0.145062005;8.36E-08;-1.92E-08;;;Aqr;1;111814;;49.24929296;;;;;A;#f3e8d3;#f3e8d3
111815;112170;215242;8652;;;;22.717866;47.168755;775.1938;2.26;-2.69;-17;6.39;-3.057;;0.45;497.597657;-173.593551;568.49542;-1.36E-06;9.47E-06;-1.96E-05;5.947523468;0.823250075;1.10E-08;-1.30E-08;;;Lac;1;111815;;1454.788971;;;;;A;#f3e8d3;#f3e8d3
111825;112179;215143;8647;;;;22.720629;-6.962937;114.1553;26.27;-10.08;2;6.4;1.113;;-0.039;107.016625;-37.247387;-13.838738;6.06E-06;1.33E-05;-5.79E-06;5.948246639;-0.121526175;1.27E-07;-4.89E-08;;67;Aqr;1;111825;;31.24640086;;;;;A;#f3e8d3;#f3e8d3
111849;112203;215104;8644;;;;22.724993;-41.414347;70.6215;10.23;-93.95;29;4.84;0.595;;1.027;50.03923;-17.352188;-46.716271;2.06E-06;2.99E-06;-4.37E-05;5.949389237;-0.722816707;4.96E-08;-4.55E-07;Rho;;Gru;1;111849;;50.35006088;;;;;K;#F99220;#F99220
111857;112211;215167;8649;;;;22.726454;-18.830375;132.8021;-31.4;-28.02;22;4.68;-0.936;;1.358;118.772577;-41.13611;-42.864267;8.01E-06;-2.42E-05;-2.43E-05;5.949771724;-0.328652047;-1.52E-07;-1.36E-07;;66;Aqr;1;111857;;206.2528698;;;;;K;#F99220;#F99220
111887;112241;215359;8654;;;;22.734782;39.465348;212.3142;7.68;-28.38;-27;5.93;-0.705;;1.49;154.998595;-53.304517;134.94918;-3.00E-08;8.37E-06;-4.01E-05;5.951952108;0.688800268;3.72E-08;-1.38E-07;;;Lac;1;111887;;166.7247213;;;;;K;#F99220;#F99220
111888;112242;215373;8656;;;;22.734856;41.819235;78.6782;-8.33;3.11;13;5.11;0.631;;0.96;55.448261;-19.067659;52.461339;7.59E-06;-5.97E-06;9.75E-06;5.951971305;0.729883335;-4.04E-08;1.51E-08;;13;Lac;1;111888;;48.70796665;;;;;K;#F99220;#F99220
111905;112259;215121;8646;;;;22.73791;-60.499618;145.9854;2.92;20.07;-6;6.29;0.468;;0.568;67.998937;-23.3228;-127.058698;9.51E-06;-1.08E-06;1.23E-05;5.95277099;-1.055917531;1.42E-08;9.73E-08;;;Tuc;1;111905;;56.59785862;;;;;F;#d4bf94;#d4bf94
111946;112300;215518;8661;;;;22.746978;52.517208;291.5452;-5.13;6.61;5;6.43;-0.894;;1.541;167.951612;-57.160145;231.351688;-6.41E-06;-5.48E-06;9.74E-06;5.955144909;0.916598196;-2.49E-08;3.20E-08;;;Lac;1;111946;;198.4266498;;;;;K;#F99220;#F99220
111951;112305;215473;;;;;22.748049;39.201027;238.0952;16.39;-20.04;3;6.47;-0.414;;1.498;174.685777;-59.397301;150.486467;2.22E-05;1.24E-05;-1.60E-05;5.955425369;0.68418699;7.95E-08;-9.72E-08;;;Lac;1;111951;;127.5263706;;;;;K;#F99220;#F99220
111968;112324;215588;;;;;22.751018;58.14705;35.4359;-62.39;-137.19;0;6.45;3.703;;0.43;17.710106;-6.006556;30.099443;1.55E-05;-1.66E-05;-1.24E-05;5.956202488;1.014857466;-3.02E-07;-6.65E-07;;;Cep;1;111968;;2.876073629;;;;;F;#d4bf94;#d4bf94
112000;112358;215510;8660;;;;22.757827;19.366561;113.3787;-26.07;58.04;-22;6.27;0.997;;1.057;101.356852;-34.174559;37.597513;-3.47E-05;-3.42E-06;2.26E-05;5.957985191;0.338010258;-1.26E-07;2.81E-07;;45;Peg;1;112000;;34.76962446;;;;;G;#FFD423;#FFD423
112012;112368;215549;;;;;22.759581;30.442557;59.988;-250.94;-349.5;-0.6;6.37;2.48;;0.933;49.014758;-16.501365;30.394374;2.50E-05;-8.54E-05;-8.79E-05;5.958444399;0.531322855;-1.22E-06;-1.69E-06;;;Peg;1;112012;;8.87156012;;;;;K;#F99220;#F99220
112018;112374;215369;8655;;;;22.760519;-53.500121;127.2265;30.62;17.34;28;4.84;-0.683;;1.18;71.727719;-24.128117;-102.272256;3.03E-05;9.73E-06;-1.67E-05;5.958690043;-0.93375326;1.48E-07;8.41E-08;Eta;;Gru;1;112018;;163.3804169;;;;;K;#F99220;#F99220
112025;112381;215405;8657;;;;22.761331;-46.547328;241.5459;-29.41;-11.39;42;5.52;-1.395;;1.302;157.466161;-52.932257;-175.34876;7.85E-06;-3.90E-05;-4.04E-05;5.958902423;-0.812404123;-1.43E-07;-5.52E-08;;;Gru;1;112025;;314.7748314;;;;;K;#F99220;#F99220
112050;112405;214846;8630;;;;22.767692;-81.381615;45.7666;-55.35;0.88;24;4.13;0.827;;0.208;6.504421;-2.174504;-45.250032;-2.20E-07;-1.29E-05;-2.42E-05;5.960567807;-1.420377134;-2.68E-07;4.27E-09;Bet;;Oct;1;112050;;40.66305463;;;;;A;#f3e8d3;#f3e8d3
112061;112417;215664;8666;;;;22.769497;44.546054;56.9152;142.77;32.07;-10;5.84;2.064;;0.358;38.476077;-12.84212;39.924945;-3.30E-07;4.16E-05;-8.70E-07;5.961040319;0.777475318;6.92E-07;1.55E-07;;;Lac;1;112061;;13.0136763;;;;;F;#d4bf94;#d4bf94
112076;112432;215504;8659;;;;22.774518;-49.68579;235.2941;86.51;-275.57;2;6.49;-0.368;;1.162;144.462706;-48.006256;-179.413622;-0.00019507;0.00016881;-0.00020492;5.962354946;-0.867180624;4.19E-07;-1.34E-06;;;Gru;1;112076;;122.2362449;;;;;K;#F99220;#F99220
