ID Node1 Node2 Node3 Marker
393 2608 2613 2599 0
394 2654 2613 2608 0
395 2654 2599 2613 0
396 8300 8063 7832 0
397 8300 8340 8063 0
398 7832 8340 8300 0
399 7832 8063 8340 0
400 8359 8289 7286 0
401 8359 9010 8289 0
402 7286 9010 8359 0
403 7286 8289 9010 0
404 5868 5995 5791 0
405 5868 6224 5995 0
406 5791 6224 5868 0
407 5791 5995 6224 0
408 8333 8147 8048 0
409 8333 8077 8147 0
410 8048 8077 8333 0
411 8048 8147 8077 0
412 4402 4731 5146 0
413 4402 4764 4731 0
414 5146 4764 4402 0
415 5146 4731 4764 0
416 10710 10711 10622 0
417 10710 10598 10711 0
418 10622 10598 10710 0
419 10622 10711 10598 0
420 9350 9394 9061 0
421 9350 9152 9394 0
422 9061 9152 9350 0
423 9061 9394 9152 0
424 3735 3729 3586 0
425 3735 4078 3729 0
426 3586 4078 3735 0
427 3586 3729 4078 0
428 8402 8379 7926 0
429 8402 7802 8379 0
430 7926 7802 8402 0
431 7926 8379 7802 0
432 10348 9891 10716 0
433 10348 10858 9891 0
434 10716 10858 10348 0
435 10716 9891 10858 0
436 12750 13098 13036 0
437 12750 13159 13098 0
438 13036 13159 12750 0
439 13036 13098 13159 0
440 11152 11088 10849 0
441 11152 11056 11088 0
442 10849 11056 11152 0
443 10849 11088 11056 0
444 6417 6378 6303 0
445 6417 6354 6378 0
446 6303 6354 6417 0
447 6303 6378 6354 0
448 2688 2813 2578 0
449 2688 2807 2813 0
450 2578 2807 2688 0
451 2578 2813 2807 0
452 10654 10650 10505 0
453 10654 10658 10650 0
454 10505 10658 10654 0
455 10505 10650 10658 0
456 6984 7193 7348 0
457 6984 7477 7193 0
458 7348 7477 6984 0
459 7348 7193 7477 0
460 6514 6322 6390 0
461 6514 6361 6322 0
462 6390 6361 6514 0
463 6390 6322 6361 0
464 4267 4161 4083 0
465 4267 4265 4161 0
466 4083 4265 4267 0
467 4083 4161 4265 0
468 12573 12528 12814 0
469 12573 12484 12528 0
470 12814 12484 12573 0
471 12814 12528 12484 0
472 9368 9145 9229 0
473 9368 9128 9145 0
474 9229 9128 9368 0
475 9229 9145 9128 0
476 6145 6250 6103 0
477 6145 6131 6250 0
478 6103 6131 6145 0
479 6103 6250 6131 0
480 6189 5686 6227 0
481 6189 6156 5686 0
482 6227 6156 6189 0
483 6227 5686 6156 0
484 1669 2054 1832 0
485 1669 1969 2054 0
486 1832 1969 1669 0
487 1832 2054 1969 0
488 9471 9320 9419 0
489 9471 9004 9320 0
490 9419 9004 9471 0
491 9419 9320 9004 0
492 5637 6080 5918 0
493 5637 5906 6080 0
494 5918 5906 5637 0
495 5918 6080 5906 0
496 8012 8114 8378 0
497 8012 8092 8114 0
498 8378 8092 8012 0
499 8378 8114 8092 0
500 259 399 199 0
501 259 526 399 0
502 199 526 259 0
503 199 399 526 0
504 5805 5762 5911 0
505 5805 5871 5762 0
506 5911 5871 5805 0
507 5911 5762 5871 0
508 11758 11526 11731 0
509 11758 11511 11526 0
510 11731 11511 11758 0
511 11731 11526 11511 0
512 2830 3214 2470 0
513 2830 2767 3214 0
514 2470 2767 2830 0
515 2470 3214 2767 0
516 6190 6042 6044 0
517 6190 6374 6042 0
518 6044 6374 6190 0
519 6044 6042 6374 0
520 5352 5319 5273 0
521 5352 5057 5319 0
522 5273 5057 5352 0
523 5273 5319 5057 0
524 9334 9326 9576 0
525 9334 9438 9326 0
526 9576 9438 9334 0
527 9576 9326 9438 0
528 10288 10357 10261 0
529 10288 10243 10357 0
530 10261 10243 10288 0
531 10261 10357 10243 0
532 8842 8697 8970 0
533 8842 9117 8697 0
534 8970 9117 8842 0
535 8970 8697 9117 0
536 13008 12920 13020 0
537 13008 13347 12920 0
538 13020 13347 13008 0
539 13020 12920 13347 0
540 3886 4122 4043 0
541 3886 4125 4122 0
542 4043 4125 3886 0
543 4043 4122 4125 0
544 12489 12667 12385 0
545 12489 12411 12667 0
546 12385 12411 12489 0
547 12385 12667 12411 0
548 3192 3525 3461 0
549 3192 3400 3525 0
550 3461 3400 3192 0
551 3461 3525 3400 0
552 9044 9295 9131 0
553 9044 9322 9295 0
554 9131 9322 9044 0
555 9131 9295 9322 0
556 9471 9151 9320 0
557 9004 9151 9471 0
558 9004 9320 9151 0
559 7776 7976 7780 0
560 7776 8124 7976 0
561 7780 8124 7776 0
562 7780 7976 8124 0
563 4284 4261 4367 0
564 4284 4382 4261 0
565 4367 4382 4284 0
566 4367 4261 4382 0
567 5798 6148 6216 0
568 5798 5930 6148 0
569 6216 5930 5798 0
570 6216 6148 5930 0
571 9417 9325 9336 0
572 9417 9477 9325 0
573 9336 9477 9417 0
574 9336 9325 9477 0
575 6651 6918 6931 0
576 6651 6953 6918 0
577 6931 6953 6651 0
578 6931 6918 6953 0
579 5806 5399 5728 0
580 5806 5307 5399 0
581 5728 5307 5806 0
582 5728 5399 5307 0
583 9260 9280 9130 0
584 9260 9203 9280 0
585 9130 9203 9260 0
586 9130 9280 9203 0
587 7908 8577 7681 0
588 7908 8588 8577 0
589 7681 8588 7908 0
590 7681 8577 8588 0
591 11080 10888 10838 0
592 11080 11125 10888 0
593 10838 11125 11080 0
594 10838 10888 11125 0
595 8688 8489 8469 0
596 8688 8889 8489 0
597 8469 8889 8688 0
598 8469 8489 8889 0
599 6167 6101 6419 0
600 6167 6031 6101 0
601 6419 6031 6167 0
602 6419 6101 6031 0
603 9075 9066 8966 0
604 9075 9107 9066 0
605 8966 9107 9075 0
606 8966 9066 9107 0
607 7912 7257 7774 0
608 7774 7277 7912 0
609 7774 7257 7277 0
610 12009 11946 11995 0
611 12009 11793 11946 0
612 11995 11793 12009 0
613 11995 11946 11793 0
614 7789 7827 7893 0
615 7789 7634 7827 0
616 7893 7634 7789 0
617 7893 7827 7634 0
618 6271 6365 6085 0
619 6271 5906 6365 0
620 6085 5906 6271 0
621 6085 6365 5906 0
622 9846 9530 9470 0
623 9846 9526 9530 0
624 9470 9526 9846 0
625 9470 9530 9526 0
626 10200 9757 10018 0
627 10200 9309 9757 0
628 10018 9309 10200 0
629 10018 9757 9309 0
630 7475 7692 7832 0
631 7475 7412 7692 0
632 7832 7412 7475 0
633 7832 7692 7412 0
634 12340 12885 12568 0
635 12340 11976 12885 0
636 12568 11976 12340 0
637 12568 12885 11976 0
638 8481 8276 8382 0
639 8481 8792 8276 0
640 8382 8792 8481 0
641 8382 8276 8792 0
642 8346 8210 8339 0
643 8346 8417 8210 0
644 8339 8417 8346 0
645 8339 8210 8417 0
646 4399 4473 4591 0
647 4399 4490 4473 0
648 4591 4490 4399 0
649 4591 4473 4490 0
650 3036 2891 2894 0
651 3036 2856 2891 0
652 2894 2856 3036 0
653 2894 2891 2856 0
654 9072 9013 9021 0
655 9072 9154 9013 0
656 9021 9154 9072 0
657 9021 9013 9154 0
658 7864 7791 7938 0
659 7864 7538 7791 0
660 7938 7538 7864 0
661 7938 7791 7538 0
662 6255 6193 6332 0
663 6255 6206 6193 0
664 6332 6206 6255 0
665 6332 6193 6206 0
666 2347 2313 2308 0
667 2347 2170 2313 0
668 2308 2170 2347 0
669 2308 2313 2170 0
670 8968 8899 8913 0
671 8968 9159 8899 0
672 8913 9159 8968 0
673 8913 8899 9159 0
674 9177 9387 9348 0
675 9177 9385 9387 0
676 9348 9385 9177 0
