ID,Node1,Node2,X,Y,Z
495,124,21380,,,
496,124,21360,,,
497,124,21423,,,
498,125,1991,,,
499,125,15973,,,
500,125,2967,,,
501,125,8722,,,
502,126,12631,,,
503,126,9350,,,
504,126,11080,,,
505,126,12421,,,
506,127,53938,,,
507,127,53968,,,
508,127,53944,,,
509,127,51268,,,
510,128,2467,,,
511,128,27325,,,
512,128,19286,,,
513,128,12226,,,
514,129,75058,,,
515,129,498,,,
516,129,13950,,,
517,129,1683,,,
518,130,3352,,,
519,130,17375,,,
520,130,17377,,,
521,130,1190,,,
522,131,70573,,,
523,131,60965,,,
524,131,70553,,,
525,131,1407,,,
526,132,13780,,,
527,132,16427,,,
528,132,15707,,,
529,132,15945,,,
530,133,13491,,,
531,133,13975,,,
532,133,14023,,,
533,133,14036,,,
534,134,1158,,,
535,134,43783,,,
536,134,43737,,,
537,134,43675,,,
538,135,16454,,,
539,135,16965,,,
540,135,17002,,,
541,135,1994,,,
542,136,7605,,,
543,136,61524,,,
544,136,70797,,,
545,136,70750,,,
546,137,18255,,,
547,137,9941,,,
548,137,10119,,,
549,137,10124,,,
550,138,57197,,,
551,138,51376,,,
552,138,48909,,,
553,138,57199,,,
554,139,71756,,,
555,139,70073,,,
556,139,72042,,,
557,139,71669,,,
558,140,207,,,
559,140,12901,,,
560,140,13177,,,
561,140,12654,,,
562,141,26311,,,
563,141,24551,,,
564,141,26230,,,
565,141,2047,,,
566,142,26182,,,
567,142,18621,,,
568,142,17261,,,
569,142,920,,,
570,143,57548,,,
571,143,7390,,,
572,143,8768,,,
573,143,56838,,,
574,144,6371,,,
575,144,49095,,,
576,144,49077,,,
577,144,50516,,,
578,145,10194,,,
579,145,10196,,,
580,145,10164,,,
581,145,9971,,,
582,146,69447,,,
583,146,70327,,,
584,146,69298,,,
585,146,69365,,,
586,147,12402,,,
587,147,11848,,,
588,147,12354,,,
589,147,12199,,,
590,148,45797,,,
591,148,46085,,,
592,148,43943,,,
593,148,10425,,,
594,149,66164,,,
595,149,7545,,,
596,149,60529,,,
597,149,3082,,,
598,150,67569,,,
599,150,541,,,
600,150,66558,,,
601,150,21789,,,
602,151,38064,,,
603,151,42195,,,
604,151,42253,,,
605,151,42190,,,
606,152,47638,,,
607,152,47254,,,
608,152,4848,,,
609,152,41799,,,
610,153,5930,,,
611,153,16724,,,
612,153,1093,,,
613,153,16411,,,
614,154,10490,,,
615,154,10920,,,
616,154,1148,,,
617,154,11053,,,
618,155,16038,,,
619,155,2914,,,
620,155,16041,,,
621,155,16094,,,
622,156,11721,,,
623,156,13969,,,
624,156,13988,,,
625,156,1053,,,
626,157,67799,,,
627,157,59363,,,
628,157,58996,,,
629,157,69200,,,
630,158,24536,,,
631,158,24535,,,
632,158,13060,,,
633,158,24400,,,
634,159,4229,,,
635,159,21644,,,
636,159,4226,,,
637,159,34283,,,
638,160,2252,,,
639,160,16992,,,
640,160,3770,,,
641,160,4713,,,
642,161,13121,,,
643,161,13373,,,
644,161,9292,,,
645,162,1434,,,
646,162,12067,,,
647,162,11145,,,
648,162,11470,,,
649,163,10057,,,
650,163,10948,,,
651,163,18325,,,
652,163,10132,,,
653,164,14414,,,
654,164,14373,,,
655,164,14092,,,
656,164,14006,,,
657,165,71630,,,
658,165,71628,,,
659,165,71625,,,
660,165,74498,,,
661,166,35176,,,
662,166,2228,,,
663,166,35060,,,
664,166,35387,,,
665,167,11674,,,
666,167,12021,,,
667,167,12018,,,
668,167,11685,,,
669,168,11327,,,
670,168,11329,,,
671,168,11239,,,
672,168,11315,,,
673,169,13773,,,
674,169,13726,,,
675,169,12911,,,
676,169,13761,,,
677,170,11889,,,
678,170,11985,,,
679,170,11994,,,
680,170,11956,,,
681,171,14242,,,
682,171,8572,,,
683,171,1510,,,
684,171,10844,,,
685,172,13577,,,
686,172,2366,,,
687,172,176,,,
688,172,13353,,,
689,173,15490,,,
690,173,1905,,,
691,173,1966,,,
692,173,1092,,,
693,174,61420,,,
694,174,61713,,,
695,174,75842,,,
696,174,61697,,,
697,175,21299,,,
698,175,76662,,,
699,175,76660,,,
700,175,12017,,,
701,176,2292,,,
702,176,13058,,,
703,176,13350,,,
704,177,1480,,,
705,177,2336,,,
706,177,12158,,,
707,177,12677,,,
708,178,12185,,,
709,178,18594,,,
710,178,18592,,,
711,178,13375,,,
712,179,26842,,,
713,179,20226,,,
714,179,27397,,,
715,179,3427,,,
716,180,76282,,,
717,180,76313,,,
718,180,76256,,,
719,180,62853,,,
720,181,4656,,,
721,181,36639,,,
722,181,38282,,,
723,181,5254,,,
724,182,10477,,,
725,182,78008,,,
726,182,78236,,,
727,182,8556,,,
728,183,11072,,,
729,183,10446,,,
730,183,11070,,,
731,183,9944,,,
732,184,18002,,,
733,184,11300,,,
734,184,14413,,,
735,184,18479,,,
736,185,12246,,,
737,185,20762,,,
738,185,3353,,,
739,186,15811,,,
740,186,16075,,,
741,186,15669,,,
742,186,15913,,,
743,187,24569,,,
744,187,24683,,,
745,187,24659,,,
746,187,24639,,,
747,188,35770,,,
748,188,2755,,,
749,188,35722,,,
750,188,35547,,,
751,189,62034,,,
752,189,62038,,,
753,189,9334,,,
754,189,61674,,,
755,190,60571,,,
756,190,60666,,,
757,190,60613,,,
758,190,60583,,,
759,191,61380,,,
760,191,60296,,,
761,191,61146,,,
762,191,61623,,,
763,192,34378,,,
764,192,4240,,,
765,192,28177,,,
766,192,34235,,,
767,193,74057,,,
768,193,78540,,,
769,193,14907,,,
770,193,1368,,,
771,194,42192,,,
772,194,42193,,,
773,194,556,,,
774,194,15452,,,
775,195,31436,,,
776,195,31375,,,
777,195,31408,,,
778,195,24060,,,
779,196,32854,,,
780,196,32366,,,
781,196,34154,,,
782,196,34512,,,
783,197,55047,,,
784,197,55052,,,
785,197,54935,,,
786,197,54941,,,
787,198,26357,,,
788,198,3332,,,
789,198,26238,,,
790,198,24487,,,
791,199,29712,,,
792,199,29373,,,
793,199,29863,,,
794,199,3701,,,
795,200,13886,,,
796,200,14343,,,
797,200,14344,,,
798,200,14139,,,
799,201,29445,,,
800,201,35080,,,
801,201,34281,,,
802,201,30227,,,
803,202,14554,,,
804,202,14528,,,
805,202,1410,,,
806,202,14925,,,
807,203,76609,,,
808,203,68412,,,
809,203,76778,,,
810,203,75482,,,
811,204,33351,,,
812,204,33474,,,
813,204,22424,,,
814,204,31288,,,
815,205,63226,,,
816,205,61754,,,
817,205,61589,,,
818,205,63187,,,
819,206,6673,,,
820,206,67990,,,
821,206,68180,,,
822,206,7450,,,
823,207,1549,,,
824,207,13080,,,
825,207,12549,,,
826,208,15230,,,
827,208,5179,,,
828,208,15063,,,
829,208,14995,,,
830,209,58925,,,
831,209,8285,,,
832,209,58918,,,
833,209,58952,,,
834,210,14110,,,
835,210,875,,,
836,210,10770,,,
837,210,11709,,,
838,211,59490,,,
839,211,59728,,,
840,211,59601,,,
841,211,59515,,,
842,212,27521,,,
843,212,27553,,,
844,212,4645,,,
845,212,27498,,,
846,213,31995,,,
847,213,3963,,,
848,213,23698,,,
849,213,24055,,,
