ID,Node1,Node2,Marker
448,3102,3057,0
449,3749,3751,0
450,3749,3810,0
451,3666,3810,0
452,3666,3751,0
453,3666,3749,0
454,3810,3751,0
455,2977,2756,0
456,2977,3103,0
457,3564,3103,0
458,3564,2756,0
459,3564,2977,0
460,3103,2756,0
461,3671,3726,0
462,3671,3952,0
463,3730,3952,0
464,3730,3726,0
465,3730,3671,0
466,3952,3726,0
467,2809,2802,0
468,2809,2775,0
469,2984,2775,0
470,2984,2802,0
471,2984,2809,0
472,2775,2802,0
473,711,674,0
474,711,746,0
475,792,746,0
476,792,674,0
477,792,711,0
478,746,674,0
479,4645,4602,0
480,4645,4555,0
481,4748,4555,0
482,4748,4602,0
483,4748,4645,0
484,4555,4602,0
485,5719,5705,0
486,5719,5608,0
487,5645,5608,0
488,5645,5705,0
489,5645,5719,0
490,5608,5705,0
491,5431,5622,0
492,5431,5713,0
493,5704,5713,0
494,5704,5622,0
495,5704,5431,0
496,5713,5622,0
497,2158,2151,0
498,2158,2510,0
499,2603,2510,0
500,2603,2151,0
501,2603,2158,0
502,2510,2151,0
503,302,90,0
504,302,268,0
505,121,268,0
506,121,90,0
507,121,302,0
508,268,90,0
509,3848,3797,0
510,3848,4082,1
511,3679,4082,1
512,3679,3797,0
513,3679,3848,1
514,4082,3797,0
515,3603,4407,0
516,3603,3792,0
517,3296,3792,0
518,3296,4407,0
519,3296,3603,0
520,3792,4407,0
521,5663,5557,1
522,5663,5628,0
523,5463,5628,0
524,5463,5557,0
525,5463,5663,0
526,5628,5557,0
527,4361,4294,0
528,4361,4434,0
529,4265,4434,0
530,4265,4294,0
531,4265,4361,0
532,4434,4294,0
533,4378,4375,0
534,4378,4590,0
535,4519,4590,0
536,4519,4375,0
537,4519,4378,0
538,4590,4375,0
539,4737,4645,0
540,4737,4595,0
541,4660,4595,0
542,4660,4645,0
543,4660,4737,0
544,4595,4645,0
545,4395,4346,0
546,4395,4442,0
547,4370,4442,0
548,4370,4346,0
549,4370,4395,0
550,4442,4346,0
551,2501,2787,0
552,2501,2817,0
553,2841,2817,0
554,2841,2787,0
555,2841,2501,0
556,2817,2787,0
557,962,985,0
558,962,1158,0
559,986,1158,0
560,986,985,0
561,986,962,0
562,1158,985,0
563,6087,6287,0
564,6087,6163,0
565,6318,6163,0
566,6318,6287,0
567,6318,6087,0
568,6163,6287,0
569,2703,2936,0
570,2703,2754,0
571,2788,2754,0
572,2788,2936,0
573,2788,2703,0
574,2754,2936,0
575,3685,3725,0
576,3685,3900,0
577,3613,3900,0
578,3613,3725,0
579,3613,3685,0
580,3900,3725,0
581,1392,1620,0
582,1392,1645,0
583,1668,1645,0
584,1668,1620,0
585,1668,1392,0
586,1645,1620,0
587,3724,3690,0
588,3724,3576,0
589,3543,3576,0
590,3543,3690,0
591,3543,3724,0
592,3576,3690,0
593,4004,4178,0
594,4004,4001,0
595,4151,4001,0
596,4151,4178,0
597,4151,4004,0
598,4001,4178,0
599,4330,4119,0
600,4330,4414,0
601,4632,4414,0
602,4632,4119,0
603,4632,4330,0
604,4414,4119,0
605,5218,5391,0
606,5218,5117,0
607,6690,5117,0
608,6690,5391,0
609,6690,5218,0
610,5117,5391,0
611,2339,2428,0
612,2339,2287,0
613,2163,2287,0
614,2163,2428,0
615,2163,2339,0
616,2287,2428,0
617,4014,4163,0
618,4014,4059,0
619,4208,4059,0
620,4208,4163,0
621,4208,4014,0
622,4059,4163,0
623,1248,1327,0
624,1248,1162,0
625,1141,1162,0
626,1141,1327,0
627,1141,1248,0
628,1162,1327,0
629,4936,5028,0
630,4936,4904,0
631,4808,4904,0
632,4808,5028,0
633,4808,4936,0
634,4904,5028,0
635,4193,4533,0
636,4193,4522,0
637,4262,4522,0
638,4262,4533,0
639,4262,4193,0
640,4522,4533,0
641,3979,4069,0
642,3979,3966,0
643,4001,3966,0
644,4001,4069,0
645,4001,3979,0
646,3966,4069,0
647,1962,1948,0
648,1962,2016,0
649,1996,2016,0
650,1996,1948,0
651,1996,1962,0
652,2016,1948,0
653,6214,6152,0
654,6214,6109,0
655,5996,6109,0
656,5996,6152,0
657,5996,6214,0
658,6109,6152,0
659,2242,2028,0
660,2242,2206,0
661,2213,2206,0
662,2213,2028,0
663,2213,2242,0
664,2206,2028,0
665,2206,1979,0
666,2206,2212,0
667,1957,2212,0
668,1957,1979,0
669,1957,2206,0
670,2212,1979,0
671,3645,3532,0
672,3645,3693,0
673,3554,3693,0
674,3554,3532,0
675,3554,3645,0
676,3693,3532,0
677,2121,2199,0
678,2121,2337,0
679,2372,2337,0
680,2372,2199,0
681,2372,2121,0
682,2337,2199,0
683,4967,4727,0
684,4967,4671,0
685,4024,4671,0
686,4024,4727,0
687,4024,4967,0
688,4671,4727,0
689,3051,2825,0
690,3051,2983,0
691,2932,2983,0
692,2932,2825,0
693,2932,3051,0
694,2983,2825,0
695,4048,3788,0
696,4048,3707,0
697,3723,3707,0
698,3723,3788,0
699,3723,4048,0
700,3707,3788,0
701,3892,3970,0
702,3892,4234,0
703,4227,4234,0
704,4227,3970,0
705,4227,3892,0
706,4234,3970,0
707,3185,3316,0
708,3185,3250,0
709,3313,3250,0
710,3313,3316,0
711,3313,3185,0
712,3250,3316,0
713,1357,1329,1
714,1357,1452,0
715,1564,1452,0
716,1564,1329,1
717,1564,1357,1
718,1452,1329,0
719,646,200,0
720,646,719,0
721,341,719,0
722,341,200,0
723,341,646,0
724,719,200,0
725,4682,4770,0
