   40 Harmonia           E. Bowell        7.0   0.15 0.85 107.6 S       0   0   0   0   0   9 49190 3139 20000226 247.420075 268.974976  94.319331  4.256130 0.04608547   2.26753332 19991120 1.5E-02  4.6E-05 20000121 3.7E-02 20000707 4.2E-02 20070805 4.2E-02 20070805
   41 Daphne             E. Bowell        7.12  0.10 0.73 174.0 C       0   0   0   0   0   0 48593  365 20000226  71.486890  46.064607 178.338349 15.770881 0.27442015   2.76132837 19990908 4.2E-02 -7.9E-05 20000121 8.2E-02 20001009 1.7E-01 20030315 1.7E-01 20030315
   42 Isis               E. Bowell        7.53  0.15 0.88 100.2 S       0   0   0   0   0   9 52091  706 20000226 196.671071 235.992832  84.575146  8.538502 0.22417197   2.44052713 19990827 4.2E-02  1.6E-04 20000121 4.4E-02 20000213 7.5E-02 20050630 7.5E-02 20090812
   43 Ariadne            E. Bowell        7.93  0.11 0.87  65.9 S       0   0   0   0   0   0 49434  344 20000226 188.672266  15.871200 265.031375  3.469975 0.16872751   2.20261015 19991220 8.3E-02 -4.4E-04 20000121 1.5E-01 20010509 1.5E-01 20010509 1.5E-01 20010509
   44 Nysa               E. Bowell        7.03  0.46 0.70  70.6 E       0   0   8   0   0   9 49279 1065 20000226  54.987666 342.573428 131.624365  3.702232 0.14808726   2.42380066 19990827 3.8E-02  2.6E-04 20000121 5.5E-02 20000328 6.0E-02 20061223 6.0E-02 20061223
   45 Eugenia            E. Bowell        7.46  0.07 0.66 214.6 C       0   0   0   0   0   0 48809  614 20000226 302.708461  86.438344 147.976430  6.611061 0.08299534   2.72035284 20000119 5.3E-02  3.6E-04 20000121 6.6E-02 20000313 7.4E-02 20050516 7.3E-02 20050516
   46 Hestia             E. Bowell        8.36  0.06 0.70 124.1 C       0   0   0   0   0   0 49552  502 20000226 152.505839 175.989995 181.237623  2.336547 0.17231237   2.52479409 19991220 7.5E-02  3.8E-04 20000121 8.3E-02 20000225 9.7E-02 20061029 9.7E-02 20061029
   47 Aglaja             E. Bowell        7.84  0.16 0.66 127.0 C       0   0   0   0   0   0 51061  249 20000226  79.415726 315.560542   3.395114  4.985738 0.13293375   2.88335104 19991213 7.8E-02 -3.0E-04 20000121 1.3E-01 20010109 2.0E-01 20080711 1.9E-01 20080712
   48 Doris              E. Bowell        6.90  0.15 0.72 221.8 C       0   0   8   0   0   0 49665  477 20000226 243.804825 260.468215 183.960531  6.548949 0.07379151   3.10767956 19991102 4.5E-02 -1.9E-05 20000121 9.9E-02 20001002 1.1E-01 20061118 1.1E-01 20061118
   49 Pales              E. Bowell        7.8   0.15 0.75 149.8 C       0   0   0   0   0   0 49631  353 20000226  52.283959 110.177545 286.224949  3.181678 0.23536462   3.08224887 19991102 9.6E-02  6.8E-05 20000121 9.6E-02 20000125 1.2E-01 20041213 1.3E-01 20091017
   50 Virginia           E. Bowell        9.24  0.15 0.71  99.8         0   0   0   0   0   0 51825  483 20000226 359.170425 200.232817 173.827541  2.835248 0.28701783   2.64957281 19991120 2.9E-02 -4.8E-05 20000121 7.9E-02 20010113 1.0E-01 20041203 1.0E-01 20041203
   51 Nemausa            E. Bowell        7.35  0.08 0.77 147.9 G       0   0   0   0   0   0 49429 3114 20000226 358.984781   3.304703 176.214808  9.967454 0.06670377   2.36570958 19991130 2.7E-02  2.1E-04 20000121 4.2E-02 20000402 4.4E-02 20070218 4.4E-02 20070218
