exoplanet_name,distance_ly,star_brightness,planet_type,discovery_year,mass_multiplier,mass_unit,radius_multiplier,radius_unit,orbit_radius_au,orbit_period_days,eccentricity,detection_method,mass_earth_multiplier,radius_earth_multiplier,mass_earth_kg,radius_earth_m,exoplanet_volume_m3,exoplanet_density_kg_m3
Kepler-647 c,3549.0,14.067,Neptune-like,2020,15.1,Earth,0.357,Jupiter,0.1827,0.08131417,0.0,Transit,15.1,4.001613,9.01772e+25,25494276.423,6.940914271405407e+22,1299.212127882121
Kepler-648 b,2075.0,14.027,Neptune-like,2016,10.5,Earth,0.287,Jupiter,0.1341,0.047638603,0.0,Transit,10.5,3.2169829999999995,6.2706000000000005e+25,20495398.692999996,3.606265708509787e+22,1738.806983967688
Kepler-649 b,1676.0,13.556,Neptune-like,2016,5.73,Earth,0.202,Jupiter,0.1805,0.081861734,0.0,Transit,5.73,2.264218,3.4219560000000004e+25,14425332.878,1.2573788194455262e+22,2721.499636449261
Kepler-650 b,2885.0,13.825,Neptune-like,2016,9.06,Earth,0.264,Jupiter,0.0421,0.008213553,0.0,Transit,9.06,2.9591760000000003,5.410632e+25,18852910.296,2.8068797842596364e+22,1927.632252133359
Kepler-651 b,1662.0,14.233,Neptune-like,2016,6.21,Earth,0.211,Jupiter,0.1409,0.058590006,0.0,Transit,6.21,2.365099,3.708612e+25,15068045.728999998,1.4330435803144817e+22,2587.926878808629
Kepler-652 b,1287.0,13.618,Neptune-like,2016,6.76,Earth,0.222,Jupiter,0.0503,0.011498973,0.0,Transit,6.76,2.488398,4.037072e+25,15853583.658,1.669056180880252e+22,2418.775381108423
Kepler-653 b,1943.0,13.498,Super earth,2016,4.46,Earth,1.95,Earth,0.1197,0.040246405,0.0,Transit,4.46,1.95,2.663512e+25,12423450.0,8.031843887546657e+21,3316.18995250862
Kepler-653 c,1943.0,13.498,Terrestrial,2016,0.399,Earth,0.78,Earth,0.0186,0.0024640656,0.0,Transit,0.399,0.78,2.3828280000000003e+24,4969380.0,5.1403800880298603e+20,4635.509357661644
Kepler-654 b,3178.0,13.762,Super earth,2016,4.94,Earth,2.07,Earth,0.1116,0.037508555,0.0,Transit,4.94,2.07,2.950168e+25,13187969.999999998,9.6077669682442e+21,3070.607363553841
Kepler-655 b,2455.0,13.568,Neptune-like,2016,7.8,Earth,0.242,Jupiter,0.2559,0.12703627,0.0,Transit,7.8,2.7125779999999997,4.65816e+25,17281834.437999997,2.1620121486398e+22,2154.5484852759114
Kepler-656 b,2904.0,15.549,Neptune-like,2016,9.91,Earth,0.278,Jupiter,0.0232,0.003559206,0.0,Transit,9.91,3.116102,5.918252000000001e+25,19852685.842,3.277528069661657e+22,1805.7059693194171
Kepler-657 b,5519.0,15.404,Neptune-like,2016,12.2,Earth,0.314,Jupiter,0.1654,0.067077346,0.0,Transit,12.2,3.5196259999999997,7.28584e+25,22423537.246,4.722815460453309e+22,1542.6899613182609
Kepler-658 b,1267.0,16.44,Super earth,2016,3.29,Earth,1.63,Earth,0.0188,0.003559206,0.0,Transit,3.29,1.63,1.964788e+25,10384730.0,4.6910951055089965e+21,4188.335464980549
Kepler-659 b,2357.0,15.758,Neptune-like,2016,6.8,Earth,0.223,Jupiter,0.1204,0.048459962,0.0,Transit,6.8,2.499607,4.06096e+25,15924996.197,1.6917127449432335e+22,2400.5021018720695
Kepler-65 b,991.0,10.922,Super earth,2012,2.4,Earth,1.42,Earth,0.035,0.006023272,0.03,Transit,2.4,1.42,1.43328e+25,9046820.0,3.101533366521444e+21,4621.19806761102
Kepler-65 c,991.0,10.922,Neptune-like,2012,5.4,Earth,0.23,Jupiter,0.068,0.01615332,0.02,Transit,5.4,2.57807,3.2248800000000005e+25,16424883.969999999,1.8560750809949852e+22,1737.4728172479104
Kepler-65 d,991.0,10.922,Super earth,2012,4.14,Earth,1.52,Earth,0.084,0.022176592,0.01,Transit,4.14,1.52,2.472408e+25,9683920.0,3.804014716234252e+21,6499.470124152244
Kepler-65 e,991.0,10.922,Gas giant,2019,0.82,Jupiter,1.24,Jupiter,,0.70855576,0.28,Radial velocity,260.596,13.89916,1.556279312e+27,88551548.36,2.9085537069343164e+24,535.069821227525
Kepler-660 b,1854.0,15.559,Neptune-like,2016,7.13,Earth,0.229,Jupiter,0.0759,0.025462013,0.0,Transit,7.13,2.566861,4.258036e+25,16353471.431,1.8319705129319378e+22,2324.292869313337
Kepler-661 b,1744.0,16.016,Neptune-like,2016,9.64,Earth,0.274,Jupiter,0.0585,0.016427105,0.0,Transit,9.64,3.071266,5.7570080000000005e+25,19567035.686,3.1380779010383493e+22,1834.5650368001002
Kepler-662 b,2661.0,15.598,Neptune-like,2016,5.39,Earth,2.18,Earth,0.1408,0.059411366,0.0,Transit,5.39,2.18,3.218908e+25,13888780.000000002,1.1222274962526722e+22,2868.320381338487
Kepler-663 b,3468.0,15.881,Neptune-like,2016,7.27,Earth,0.232,Jupiter,0.0559,0.0136892535,0.0,Transit,7.27,2.600488,4.341644e+25,16567709.047999999,1.9049166891590353e+22,2279.1778898827897
Kepler-664 b,3947.0,15.663,Neptune-like,2016,7.56,Earth,0.237,Jupiter,0.0374,0.0068446267,0.0,Transit,7.56,2.6565329999999996,4.514832e+25,16924771.742999997,2.0307528437728713e+22,2223.2306673086014
Kepler-665 b,1999.0,15.612,Neptune-like,2016,7.27,Earth,0.232,Jupiter,0.1148,0.043805614,0.0,Transit,7.27,2.600488,4.341644e+25,16567709.047999999,1.9049166891590353e+22,2279.1778898827897
Kepler-666 b,4921.0,15.422,Neptune-like,2016,6.35,Earth,0.214,Jupiter,0.0542,0.0123203285,0.0,Transit,6.35,2.398726,3.79222e+25,15282283.345999999,1.4950418577774898e+22,2536.530987592191
Kepler-667 b,7511.0,15.362,Neptune-like,2016,20.1,Earth,0.422,Jupiter,0.2288,0.113347024,0.0,Transit,20.1,4.730198,1.2003720000000002e+26,30136091.457999997,1.1464348642515854e+23,1047.0477106290953
Kepler-668 b,2559.0,15.365,Neptune-like,2016,7.75,Earth,0.241,Jupiter,0.0768,0.022997946,0.0,Transit,7.75,2.7013689999999997,4.6283e+25,17210421.898999996,2.135320943848442e+22,2167.496185214442
Kepler-669 b,6731.0,15.742,Neptune-like,2016,20.8,Earth,0.431,Jupiter,0.0529,0.011225188,0.0,Transit,20.8,4.831079,1.2421760000000002e+26,30778804.309,1.2213604216735909e+23,1017.0429448646178
Kepler-66 b,3924.0,15.29,Neptune-like,2013,8.25,Earth,0.25,Jupiter,0.1352,0.04873374,0.0,Transit,8.25,2.80225,4.9269000000000005e+25,17853134.75,2.383592762435e+22,2067.005772817854
Kepler-670 b,3065.0,15.162,Gas giant,2016,,,1.176,Jupiter,0.0383,0.007665982,0.0,Transit,,13.181783999999999,,83981145.864,2.4810413203483237e+24,
Kepler-671 b,3811.0,15.491,Neptune-like,2016,7.7,Earth,0.24,Jupiter,0.0503,0.011772759,0.0,Transit,7.7,2.6901599999999997,4.598440000000001e+25,17139009.36,2.108850326265692e+22,2180.543560975625
Kepler-672 b,3373.0,15.513,Neptune-like,2016,6.8,Earth,0.223,Jupiter,0.2163,0.105133474,0.0,Transit,6.8,2.499607,4.06096e+25,15924996.197,1.6917127449432335e+22,2400.5021018720695
Kepler-673 b,2995.0,15.592,Neptune-like,2016,34.8,Earth,0.583,Jupiter,0.0455,0.010130048,0.0,Transit,34.8,6.534846999999999,2.078256e+26,41633510.236999996,3.022857650761153e+23,687.513684105071
Kepler-674 b,1116.0,15.569,Super earth,2016,3.5,Earth,1.69,Earth,0.028,0.006023272,0.0,Transit,3.5,1.69,2.0902e+25,10766990.0,5.228432895093334e+21,3997.7561956691943
Kepler-675 b,2171.0,15.605,Neptune-like,2016,6.53,Earth,0.218,Jupiter,0.0325,0.0062970566,0.0,Transit,6.53,2.443562,3.899716000000001e+25,15567933.502,1.5804527367902393e+22,2467.4676497571077
Kepler-676 b,963.0,17.15,Neptune-like,2016,9.48,Earth,0.271,Jupiter,0.0798,0.03175907,0.0,Transit,9.48,3.037639,5.661456e+25,19352798.069,3.0361267951285096e+22,1864.696826589671
Kepler-677 b,6374.0,15.504,Neptune-like,2016,25.0,Earth,0.48,Jupiter,0.067,0.018069815,0.0,Transit,25.0,5.380319999999999,1.493e+26,34278018.72,1.6870802610125537e+23,884.960860785562
Kepler-678 b,5957.0,15.161,Neptune-like,2016,23.1,Earth,0.459,Jupiter,0.0732,0.019986311,0.0,Transit,23.1,5.144931,1.3795320000000002e+26,32778355.400999997,1.4751972314444721e+23,935.1508873489416
Kepler-679 b,3008.0,15.771,Neptune-like,2016,9.32,Earth,0.269,Jupiter,0.0983,0.03394935,0.0,Transit,9.32,3.015221,5.565904e+25,19209972.991,2.9694011476741366e+22,1874.4196971701328
Kepler-67 b,3690.0,16.172,Neptune-like,2013,8.96,Earth,0.262,Jupiter,0.1171,0.04298426,0.0,Transit,8.96,2.936758,5.350912000000001e+25,18710085.218000002,2.743569119690375e+22,1950.3470722122272
Kepler-680 b,4868.0,15.321,Neptune-like,2016,6.44,Earth,0.216,Jupiter,0.0469,0.010130048,0.0,Transit,6.44,2.421144,3.8459680000000006e+25,15425108.424,1.53735188784769e+22,2501.68359658009
Kepler-681 b,2241.0,15.584,Neptune-like,2016,9.69,Earth,0.275,Jupiter,0.1635,0.07227926,0.0,Transit,9.69,3.082475,5.786868e+25,19638448.225,3.172561966800986e+22,1824.0362396562161
Kepler-682 b,6456.0,15.556,Gas giant,2016,0.134,Jupiter,0.658,Jupiter,0.1058,0.034496922,0.0,Transit,42.58520000000001,7.375522,2.5431881440000007e+26,46989450.662,4.345999908934714e+23,585.1790605820293
Kepler-683 b,3337.0,15.072,Super earth,2016,4.54,Earth,1.97,Earth,0.0355,0.0068446267,0.0,Transit,4.54,1.97,2.711288e+25,12550870.0,8.281520915465769e+21,3273.901047495588
Kepler-684 b,5647.0,15.695,Neptune-like,2016,11.2,Earth,0.3,Jupiter,0.064,0.018617386,0.0,Transit,11.2,3.3627,6.68864e+25,21423761.7,4.118848293487679e+22,1623.9102592283928
Kepler-685 b,3062.0,15.186,Gas giant,2016,0.248,Jupiter,0.944,Jupiter,0.0265,0.0043805614,0.0,Transit,78.8144,10.581295999999998,4.706795968000001e+26,67413436.81599998,1.2832994700981373e+24,366.7730001976904
Kepler-686 b,4863.0,16.02,Gas giant,2016,,,1.084,Jupiter,0.0258,0.0043805614,0.0,Transit,,12.150556,,77411192.276,1.943121148882246e+24,
Kepler-687 b,2067.0,15.695,Neptune-like,2016,12.2,Earth,0.314,Jupiter,0.1326,0.056125943,0.0,Transit,12.2,3.5196259999999997,7.28584e+25,22423537.246,4.722815460453309e+22,1542.6899613182609
Kepler-688 b,4429.0,15.805,Gas giant,2016,0.216,Jupiter,0.871,Jupiter,0.046,0.010677618,0.0,Transit,68.6448,9.763039,4.099467456e+26,62200321.469,1.0080138447923831e+24,406.68761418096915
Kepler-689 b,3692.0,15.938,Neptune-like,2016,8.7,Earth,0.258,Jupiter,0.1449,0.061327856,0.0,Transit,8.7,2.891922,5.19564e+25,18424435.062,2.6198181701625997e+22,1983.2063382007657
Kepler-68 b,470.0,10.077,Neptune-like,2013,7.65,Earth,0.21,Jupiter,0.0617,0.014784395,0.0,Transit,7.65,2.35389,4.56858e+25,14996633.19,1.4127649646662742e+22,3233.7863085946487
Kepler-68 c,470.0,10.077,Super earth,2013,2.04,Earth,0.92,Earth,0.09059,0.026283368,0.0,Transit,2.04,0.92,1.2182880000000001e+25,5861320.0,8.434802276647862e+20,14443.58693946966
Kepler-68 d,470.0,10.077,Gas giant,2013,0.84007,Jupiter,1.24,Jupiter,1.4,1.7,0.11,Radial velocity,266.974246,13.89916,1.594370197112e+27,88551548.36,2.9085537069343164e+24,548.1659813641548
Kepler-690 b,5432.0,15.701,Neptune-like,2016,29.6,Earth,0.531,Jupiter,0.081,0.021081451,0.0,Transit,29.6,5.951979,1.767712e+26,37920058.209,2.283997347904157e+23,773.9553645375678
Kepler-691 b,910.0,16.6,Super earth,2016,5.02,Earth,2.09,Earth,0.0649,0.022176592,0.0,Transit,5.02,2.09,2.997944e+25,13315390.0,9.888952318960526e+21,3031.609318463301
Kepler-692 b,3234.0,15.676,Neptune-like,2016,9.85,Earth,0.277,Jupiter,0.1495,0.059685145,0.0,Transit,9.85,3.104893,5.88242e+25,19781273.303,3.242286135813018e+22,1814.2815758995177
Kepler-693 b,3756.0,16.7286,Gas giant,2016,0.232,Jupiter,0.908,Jupiter,0.1121,0.042162903,0.0,Transit,73.7296,10.177772,4.403131712e+26,64842585.41199999,1.1420091343012443e+24,385.56011329052313
