exoplanet_name,distance_ly,star_brightness,planet_type,discovery_year,mass_multiplier,mass_unit,radius_multiplier,radius_unit,orbit_radius_au,orbit_period_days,eccentricity,detection_method,mass_earth_multiplier,radius_earth_multiplier,mass_earth_kg,radius_earth_m,exoplanet_volume_m3,exoplanet_density_kg_m3
HD 114783 c,69.0,7.56,Gas giant,2018,0.611,Jupiter,1.26,Jupiter,4.97,11.8,0.0,Radial velocity,194.1758,14.123339999999999,1.1596178776000001e+27,89979799.13999999,3.051572323679151e+24,380.0066833093761
HD 11505 b,127.0,7.43,Gas giant,2022,8.33652,Jupiter,1.12,Jupiter,20.331533,89.5,0.14,Radial velocity,2649.3460560000003,12.55408,1.5821894646432003e+28,79982043.68,2.1432167760270598e+24,7382.311870365948
HD 11506 b,167.0,7.51,Gas giant,2007,5.40173,Jupiter,1.14,Jupiter,2.798425,4.4,0.39,Radial velocity,1716.669794,12.778259999999998,1.0251952009768e+28,81410294.45999998,2.2600944356025584e+24,4536.072408423391
HD 11506 c,167.0,7.51,Gas giant,2008,0.3645,Jupiter,1.18,Jupiter,0.749283,0.61327857,0.23,Radial velocity,115.8381,13.226619999999999,6.917851332000001e+26,84266796.02,2.5064442775354255e+24,276.00259834231343
HD 11506 d,167.0,7.51,Gas giant,2022,7.69861,Jupiter,1.13,Jupiter,12.245208,40.3,0.06,Radial velocity,2446.6182580000004,12.66617,1.4611204236776003e+28,80696169.07,2.201138461529071e+24,6638.021411259152
HD 115404 A b,36.0,6.50066,Neptune-like,2022,30.03873,Earth,0.535,Jupiter,0.088127,0.028747434,0.23,Radial velocity,30.03873,5.996815,1.7939129556e+26,38205708.365,2.3360029027773287e+23,767.9412356325306
HD 115404 A c,36.0,6.50066,Gas giant,2022,10.38165,Jupiter,1.11,Jupiter,11.294908,42.0,0.21,Radial velocity,3299.28837,12.44199,1.9703350145640002e+28,79267918.29,2.0863202261003151e+24,9444.068029033535
HD 115954 b,286.0,8.34,Gas giant,2021,8.29,Jupiter,1.12,Jupiter,5.0,10.1,0.49,Radial velocity,2634.562,12.55408,1.5733604264e+28,79982043.68,2.1432167760270598e+24,7341.116605650044
HD 116029 b,402.0,7.88,Gas giant,2011,1.4,Jupiter,1.21,Jupiter,1.65,1.8,0.0,Radial velocity,444.92,13.56289,2.6570622400000004e+27,86409172.19,2.702515185799751e+24,983.1812431476495
HD 116029 c,402.0,7.88,Gas giant,2018,1.27,Jupiter,1.22,Jupiter,,2.5,0.04,Radial velocity,403.606,13.67498,2.410335032e+27,87123297.58,2.770074976308525e+24,870.1334991344083
HD 117207 b,106.0,7.26,Gas giant,2004,1.926,Jupiter,1.2,Jupiter,3.787,7.2,0.16,Radial velocity,612.0828,13.4508,3.6553584816e+27,85695046.8,2.636062907832115e+24,1386.673463193695
HD 11755 b,767.0,6.88269,Gas giant,2015,5.63,Jupiter,1.14,Jupiter,1.09,1.187406,0.19,Radial velocity,1789.214,12.778259999999998,1.0685186008e+28,81410294.45999998,2.2600944356025584e+24,4727.760857988772
HD 117618 b,123.0,7.17,Gas giant,2004,0.174,Jupiter,0.766,Jupiter,0.18,0.07063655,0.15,Radial velocity,55.2972,8.586094,3.302348784e+26,54702004.874,6.85643464873682e+23,481.64227520325034
HD 118203 b,301.0,8.05,Gas giant,2005,2.79,Jupiter,1.172,Jupiter,0.07,0.01670089,0.31,Radial velocity,886.662,13.136947999999999,5.295145464e+27,83695495.70799999,2.455810585937867e+24,2156.17014370748
HD 11964 b,109.0,6.41525,Gas giant,2005,0.622,Jupiter,1.26,Jupiter,3.16,5.3,0.04,Radial velocity,197.6716,14.123339999999999,1.1804947952000001e+27,89979799.13999999,3.051572323679151e+24,386.84804749334194
HD 11964 c,109.0,6.41525,Neptune-like,2008,25.0,Earth,0.48,Jupiter,0.229,0.10376455,0.3,Radial velocity,25.0,5.380319999999999,1.493e+26,34278018.72,1.6870802610125537e+23,884.960860785562
HD 11977 b,222.0,4.68,Gas giant,2005,6.54,Jupiter,1.13,Jupiter,1.93,1.9,0.4,Radial velocity,2078.4120000000003,12.66617,1.2412276464000002e+28,80696169.07,2.201138461529071e+24,5639.025750055511
HD 120084 b,336.0,5.90686,Gas giant,2013,7.67534,Jupiter,1.13,Jupiter,4.332646,5.7,0.73,Radial velocity,2439.2230520000003,12.66617,1.4567040066544002e+28,80696169.07,2.201138461529071e+24,6617.957171319735
HD 121504 b,136.0,7.54,Gas giant,2003,1.51,Jupiter,1.21,Jupiter,0.33,0.17330596,0.03,Radial velocity,479.87800000000004,13.56289,2.8658314160000004e+27,86409172.19,2.702515185799751e+24,1060.4311979663935
HD 12235 b,104.0,5.88051,Neptune-like,2022,10.33369,Earth,0.285,Jupiter,0.053918,0.012046544,0.38,Radial velocity,10.33369,3.1945649999999994,6.1712796680000006e+25,20352573.614999995,3.5313975556289975e+22,1747.5459986551411
HD 12235 c,104.0,5.88051,Gas giant,2022,9.97867,Jupiter,1.11,Jupiter,22.1877,99.6,0.17,Radial velocity,3171.221326,12.44199,1.8938533758872e+28,79267918.29,2.0863202261003151e+24,9077.481741271962
HD 122562 c,174.0,7.659,Gas giant,2022,0.22921,Jupiter,0.901,Jupiter,0.406294,0.23271732,0.23,Radial velocity,72.842938,10.099309,4.3501802573600004e+26,64342697.639,1.1158001230796054e+24,389.8709246736337
HD 124330 b,196.0,7.88,Gas giant,2021,0.75,Jupiter,1.25,Jupiter,0.86,0.74113625,0.34,Radial velocity,238.35000000000002,14.01125,1.4234262000000003e+27,89265673.75,2.97949095304375e+24,477.74140698291933
HD 12484 b,158.0,8.18,Gas giant,2016,2.98,Jupiter,1.17,Jupiter,0.297,0.16098562,0.07,Radial velocity,947.044,13.114529999999998,5.655746768e+27,83552670.63,2.443259619213957e+24,2314.8365910535376
HD 125271 b,128.0,9.68,Gas giant,2022,11.05674,Jupiter,1.11,Jupiter,10.780317,40.8,0.17,Radial velocity,3513.831972,12.44199,2.0984604536784e+28,79267918.29,2.0863202261003151e+24,10058.189665355336
HD 125390 b,501.0,8.21,Gas giant,2019,28.83791,Jupiter,1.06,Jupiter,3.49516,4.8,0.6,Radial velocity,9164.687798,11.88154,5.473151552965601e+28,75697291.33999999,1.8168941552283414e+24,30123.66756322001
HD 125595 b,92.0,9.03,Neptune-like,2009,6.3566,Earth,0.214,Jupiter,0.08,0.026557151,0.0,Radial velocity,6.3566,2.398726,3.7961615200000005e+25,15282283.345999999,1.4950418577774898e+22,2539.1673820044916
HD 125612 b,188.0,8.31,Gas giant,2007,2.97102,Jupiter,1.17,Jupiter,1.348279,1.5,0.45,Radial velocity,944.1901560000001,13.114529999999998,5.638703611632001e+27,83552670.63,2.443259619213957e+24,2307.8610096482826
HD 125612 c,188.0,8.31,Neptune-like,2009,15.17685,Earth,0.358,Jupiter,0.051386,0.011498973,0.15,Radial velocity,15.17685,4.012822,9.063614820000001e+25,25565688.961999997,6.999404815621729e+22,1294.9122187891226
HD 125612 d,188.0,8.31,Gas giant,2009,7.40145,Jupiter,1.13,Jupiter,3.979432,7.7,0.11,Radial velocity,2352.18081,12.66617,1.404722379732e+28,80696169.07,2.201138461529071e+24,6381.799256536446
HD 12648 b,594.0,6.98656,Gas giant,2015,1.96,Jupiter,1.2,Jupiter,0.54,0.3657769,0.04,Radial velocity,622.888,13.4508,3.7198871360000004e+27,85695046.8,2.636062907832115e+24,1411.1526416716729
HD 126525 b,123.0,7.85,Gas giant,2018,0.237,Jupiter,0.919,Jupiter,1.837,2.6,0.04,Radial velocity,75.3186,10.301071,4.498026792e+26,65628123.341000006,1.1840187126944273e+24,379.8949073840233
HD 126614 b,238.0,8.81,Gas giant,2009,0.37745,Jupiter,1.21,Jupiter,2.248182,3.4,0.55,Radial velocity,119.95361000000001,13.56289,7.163629589200002e+26,86409172.19,2.702515185799751e+24,265.0726858757717
HD 12661 b,123.0,7.43,Gas giant,2000,2.43,Jupiter,1.18,Jupiter,0.84,0.71923345,0.38,Radial velocity,772.2540000000001,13.226619999999999,4.611900888000001e+27,84266796.02,2.5064442775354255e+24,1840.01732228209
HD 12661 c,123.0,7.43,Gas giant,2002,1.812,Jupiter,1.2,Jupiter,2.8145,4.7,0.03,Radial velocity,575.8536,13.4508,3.4389976992e+27,85695046.8,2.636062907832115e+24,1304.5962177087097
HD 127506 b,73.0,8.7,Neptune-like,2022,26.61699,Earth,0.498,Jupiter,0.287149,0.18015058,0.24,Radial velocity,26.61699,5.582082,1.5895666428000002e+26,35563444.422,1.884083127350752e+23,843.6817992394649
HD 128311 b,53.0,7.48,Gas giant,2002,1.769,Jupiter,1.2,Jupiter,1.084,1.2402464,0.3,Radial velocity,562.1881999999999,13.4508,3.3573879304e+27,85695046.8,2.636062907832115e+24,1273.6372566924433
HD 128311 c,53.0,7.48,Gas giant,2005,3.789,Jupiter,1.16,Jupiter,1.74,2.5,0.16,Radial velocity,1204.1442000000002,13.002439999999998,7.191149162400001e+27,82838545.24,2.3811458614487947e+24,3020.0372345206047
HD 128356 b,85.0,8.2411,Gas giant,2016,0.89,Jupiter,1.24,Jupiter,0.87,0.8164271,0.57,Radial velocity,282.84200000000004,13.89916,1.6891324240000004e+27,88551548.36,2.9085537069343164e+24,580.7465132835334
HD 129445 b,220.0,8.8,Gas giant,2009,1.6,Jupiter,1.21,Jupiter,2.9,5.0,0.7,Radial velocity,508.48,13.56289,3.03664256e+27,86409172.19,2.702515185799751e+24,1123.6357064544566
HD 130322 b,104.0,8.04,Gas giant,1999,1.15,Jupiter,1.22,Jupiter,0.0925,0.029295003,0.03,Radial velocity,365.46999999999997,13.67498,2.18258684e+27,87123297.58,2.770074976308525e+24,787.9161606335193
HD 131496 b,430.0,7.8,Gas giant,2011,1.8,Jupiter,1.2,Jupiter,2.01,2.5,0.18,Radial velocity,572.0400000000001,13.4508,3.4162228800000005e+27,85695046.8,2.636062907832115e+24,1295.956507657659
HD 13167 b,486.0,8.34,Gas giant,2018,3.31,Jupiter,1.17,Jupiter,4.1,7.2,0.56,Radial velocity,1051.9180000000001,13.114529999999998,6.282054296000001e+27,83552670.63,2.443259619213957e+24,2571.1775558346344
HD 13189 b,1624.0,7.57,Gas giant,2005,10.95,Jupiter,1.11,Jupiter,1.25,1.2911705,0.27,Radial velocity,3479.91,12.44199,2.078202252e+28,79267918.29,2.0863202261003151e+24,9961.08951061895
HD 132406 b,231.0,8.45,Gas giant,2007,5.38,Jupiter,1.14,Jupiter,1.98,2.7,0.34,Radial velocity,1709.7640000000001,12.778259999999998,1.0210710608000001e+28,81410294.45999998,2.2600944356025584e+24,4517.824763051438
HD 132563 b,343.0,8.928001,Gas giant,2011,1.49,Jupiter,1.21,Jupiter,2.62,4.2,0.22,Radial velocity,473.522,13.56289,2.827873384e+27,86409172.19,2.702515185799751e+24,1046.3857516357127
HD 133131 A b,168.0,7.66,Gas giant,2016,1.42,Jupiter,1.21,Jupiter,1.44,1.8,0.33,Radial velocity,451.276,13.56289,2.695020272e+27,86409172.19,2.702515185799751e+24,997.2266894783302
HD 133131 A c,168.0,7.66,Gas giant,2016,0.42,Jupiter,1.28,Jupiter,4.49,9.8,0.49,Radial velocity,133.476,14.34752,7.97118672e+26,91408049.92,3.199204050512695e+24,249.1615600049819
HD 133131 B b,167.0,8.413,Gas giant,2016,2.5,Jupiter,1.18,Jupiter,6.15,15.8,0.61,Radial velocity,794.5,13.226619999999999,4.744754e+27,84266796.02,2.5064442775354255e+24,1893.0219365042074
HD 134060 b,78.0,6.29,Neptune-like,2019,10.1,Earth,0.282,Jupiter,0.0444,0.009034907,0.45,Radial velocity,10.1,3.160938,6.03172e+25,20138335.998,3.4210494909981716e+22,1763.1197724181723
HD 134060 c,78.0,6.29,Neptune-like,2019,29.29,Earth,0.527,Jupiter,2.3928,3.5,0.11,Radial velocity,29.29,5.9071430000000005,1.7491988e+26,37634408.053,2.2327694315887973e+23,783.4211518899659
HD 134987 b,85.0,6.47,Gas giant,1999,1.61,Jupiter,1.21,Jupiter,0.81,0.7069131,0.23,Radial velocity,511.6580000000001,13.56289,3.0556215760000006e+27,86409172.19,2.702515185799751e+24,1130.658429619797
HD 134987 c,85.0,6.47,Gas giant,2009,0.82,Jupiter,1.24,Jupiter,5.8,13.7,0.12,Radial velocity,260.596,13.89916,1.556279312e+27,88551548.36,2.9085537069343164e+24,535.069821227525
HD 135872 b,269.0,7.28103,Gas giant,2022,5.91708,Jupiter,1.14,Jupiter,4.183784,6.6,0.16,Radial velocity,1880.4480240000003,12.778259999999998,1.1230035599328001e+28,81410294.45999998,2.2600944356025584e+24,4968.834674527212
HD 136118 b,168.0,6.9456,Gas giant,2022,13.1353,Jupiter,1.1,Jupiter,2.325263,3.3,0.34,Radial velocity,4174.398340000001,12.3299,2.4929506886480004e+28,78553792.9,2.030439658752631e+24,12277.88611152082
HD 136352 b,48.0,5.65,Super earth,2019,4.72,Earth,1.664,Earth,0.0964,0.03175907,0.0,Radial velocity,4.72,1.664,2.818784e+25,10601344.0,4.990814065912962e+21,5647.944328866445
HD 136352 c,48.0,5.65,Neptune-like,2019,11.24,Earth,0.26,Jupiter,0.1721,0.07556468,0.0,Radial velocity,11.24,2.91434,6.712528000000001e+25,18567260.14,2.6812176891236846e+22,2503.537115702787
HD 136352 d,48.0,5.65,Neptune-like,2019,8.82,Earth,0.229,Jupiter,0.425,0.2934976,0.0,Radial velocity,8.82,2.566861,5.267304e+25,16353471.431,1.8319705129319378e+22,2875.2122170187426
HD 136418 b,343.0,7.849,Gas giant,2009,2.14,Jupiter,1.19,Jupiter,1.29,1.2711841,0.25,Radial velocity,680.0920000000001,13.338709999999999,4.061509424000001e+27,84980921.41,2.5707089894094093e+24,1579.918007340491
HD 136925 b,156.0,7.91433,Gas giant,2021,0.84,Jupiter,1.24,Jupiter,5.13,12.4,0.1,Radial velocity,266.952,13.89916,1.594237344e+27,88551548.36,2.9085537069343164e+24,548.1203046720989
HD 13724 c,142.0,7.89,Gas giant,2022,0.16127,Jupiter,0.733,Jupiter,0.534309,0.38932237,0.65,Radial velocity,51.251606,8.216197,3.0607459103200003e+26,52345391.087,6.0079174392476355e+23,509.4520590987505
HD 137388 b,132.0,8.71,Gas giant,2011,0.2,Jupiter,0.832,Jupiter,0.89,0.9034908,0.36,Radial velocity,63.56,9.325887999999999,3.7958032e+26,59415232.44799999,8.785814123720484e+23,432.03773111382543
HD 137496 b,507.0,9.899,Super earth,2021,4.04,Earth,1.31,Earth,0.02732,0.0043805614,0.0,Transit,4.04,1.31,2.412688e+25,8346010.0,2.435147720898687e+21,9907.76854847065
HD 137496 c,507.0,9.899,Gas giant,2021,7.66,Jupiter,1.13,Jupiter,1.2163,1.3138946,0.48,Radial velocity,2434.348,12.66617,1.4537926256e+28,80696169.07,2.201138461529071e+24,6604.730465661347
HD 13808 b,92.0,8.36,Neptune-like,2021,11.2,Earth,0.299,Jupiter,0.10519,0.03887748,0.07,Radial velocity,11.2,3.3514909999999998,6.68864e+25,21352349.161,4.077796952945982e+22,1640.258226974207
HD 13808 c,92.0,8.36,Neptune-like,2021,9.96,Earth,0.279,Jupiter,0.2554,0.14729637,0.16,Radial velocity,9.96,3.127311,5.948112000000001e+25,19924098.381,3.3130244568048707e+22,1795.37219768563
HD 13908 b,259.0,7.52,Gas giant,2013,0.865,Jupiter,1.24,Jupiter,0.154,0.053114302,0.02,Radial velocity,274.897,13.89916,1.641684884e+27,88551548.36,2.9085537069343164e+24,564.433408977816
HD 13908 c,259.0,7.52,Gas giant,2013,5.13,Jupiter,1.15,Jupiter,2.03,2.6,0.12,Radial velocity,1630.314,12.890349999999998,9.736235208000001e+27,82124419.85,2.3200938512437312e+24,4196.483346042533
HD 13931 b,155.0,7.61,Gas giant,2009,2.2,Jupiter,1.19,Jupiter,5.15,11.6,0.02,Radial velocity,699.1600000000001,13.338709999999999,4.1753835200000007e+27,84980921.41,2.5707089894094093e+24,1624.214773901439
HD 139357 b,366.0,5.97272,Gas giant,2008,19.87087,Jupiter,1.08,Jupiter,2.948979,3.1,0.1,Radial velocity,6314.962486,12.10572,3.7712955966392006e+28,77125542.12,1.9216898598096125e+24,19624.89200527308
HD 1397 b,260.0,7.79,Gas giant,2018,0.415,Jupiter,1.026,Jupiter,0.1097,0.031485286,0.25,Transit,131.887,11.500434,7.876291640000001e+26,73269265.014,1.6476088435542664e+24,478.04378271052803
HD 14067 b,463.0,6.53329,Gas giant,2014,15.73735,Jupiter,1.09,Jupiter,5.250541,7.5,0.68,Radial velocity,5001.32983,12.21781,2.9867941744759998e+28,77839667.51,1.9755659209877993e+24,15118.676338487243
HD 140901 b,50.0,6.01,Neptune-like,2022,14.64775,Earth,0.35,Jupiter,0.084501,0.024640657,0.47,Radial velocity,14.64775,3.9231499999999997,8.7476363e+25,24994388.65,6.540578540121639e+22,1337.4407548720171
HD 140901 c,50.0,6.01,Gas giant,2022,5.30264,Jupiter,1.14,Jupiter,7.343138,20.3,0.61,Radial velocity,1685.178992,12.778259999999998,1.0063888940224e+28,81410294.45999998,2.2600944356025584e+24,4452.8621378340285
HD 141004 b,39.0,4.4154,Neptune-like,2021,13.63484,Earth,0.336,Jupiter,0.1238,0.042436685,0.16,Radial velocity,13.63484,3.7662240000000002,8.142726448e+25,23994613.104000002,5.786685295273062e+22,1407.1486580843623
HD 141399 b,121.0,7.20856,Gas giant,2014,0.451,Jupiter,1.28,Jupiter,0.415,0.25845313,0.04,Radial velocity,143.3278,14.34752,8.559536216e+26,91408049.92,3.199204050512695e+24,267.5520561005877
HD 141399 c,121.0,7.20856,Gas giant,2014,1.33,Jupiter,1.22,Jupiter,0.689,0.55304587,0.05,Radial velocity,422.67400000000004,13.67498,2.5242091280000003e+27,87123297.58,2.770074976308525e+24,911.2421683848529
HD 141399 d,121.0,7.20856,Gas giant,2014,1.18,Jupiter,1.22,Jupiter,2.09,2.9,0.07,Radial velocity,375.004,13.67498,2.2395238880000003e+27,87123297.58,2.770074976308525e+24,808.4704952587417
HD 141399 e,121.0,7.20856,Gas giant,2014,0.66,Jupiter,1.25,Jupiter,5.0,13.7,0.26,Radial velocity,209.74800000000002,14.01125,1.2526150560000002e+27,89265673.75,2.97949095304375e+24,420.412438144969
HD 141937 b,109.0,7.25,Gas giant,2002,9.69,Jupiter,1.11,Jupiter,1.5,1.8,0.41,Radial velocity,3079.482,12.44199,1.8390666504000001e+28,79267918.29,2.0863202261003151e+24,8814.881950492932
HD 142022 A b,112.0,7.7,Gas giant,2005,4.44,Jupiter,1.15,Jupiter,2.93,5.3,0.53,Radial velocity,1411.0320000000002,12.890349999999998,8.426683104000001e+27,82124419.85,2.3200938512437312e+24,3632.0440655806724
HD 142245 b,317.0,7.46,Gas giant,2011,3.07,Jupiter,1.17,Jupiter,2.78,3.6,0.0,Radial velocity,975.646,13.114529999999998,5.826557912000001e+27,83552670.63,2.443259619213957e+24,2384.747763266564
HD 142415 b,116.0,7.33,Gas giant,2003,1.67,Jupiter,1.2,Jupiter,1.06,1.0576317,0.5,Radial velocity,530.726,13.4508,3.169495672e+27,85695046.8,2.636062907832115e+24,1202.3596487712723
HD 142 A d,85.0,5.7,Gas giant,2022,0.25683,Jupiter,0.964,Jupiter,0.474065,0.29705682,0.13,Radial velocity,81.620574,10.805475999999999,4.8743806792800006e+26,68841687.59599999,1.366605404063003e+24,356.6779894758328
HD 142 b,85.0,5.7,Gas giant,2001,1.24444,Jupiter,1.22,Jupiter,1.038376,0.9620808,0.16,Radial velocity,395.48303200000004,13.67498,2.3618246671040003e+27,87123297.58,2.770074976308525e+24,852.6212060337191
HD 142 c,85.0,5.7,Gas giant,2012,11.07937,Jupiter,1.11,Jupiter,9.815941,27.8,0.28,Radial velocity,3521.023786,12.44199,2.1027554049992e+28,79267918.29,2.0863202261003151e+24,10078.775917010616
HD 143105 b,153.0,6.77005,Gas giant,2016,1.21,Jupiter,1.22,Jupiter,0.0379,0.006023272,0.07,Radial velocity,384.538,13.67498,2.296460936e+27,87123297.58,2.770074976308525e+24,829.0248298839639
HD 143361 b,223.0,9.2,Gas giant,2008,3.532,Jupiter,1.16,Jupiter,1.988,2.8,0.2,Radial velocity,1122.4696000000001,13.002439999999998,6.703388451200001e+27,82838545.24,2.3811458614487947e+24,2815.1943817172805
HD 144899 b,377.0,8.97,Neptune-like,2022,20.42286,Earth,0.426,Jupiter,0.242129,0.110609174,0.82,Radial velocity,20.42286,4.775034,1.2196531992e+26,30421741.614,1.1793448892563754e+23,1034.1785599028972
HD 145377 b,174.0,9.236,Gas giant,2008,6.02,Jupiter,1.14,Jupiter,0.45,0.28473648,0.31,Radial velocity,1913.156,12.778259999999998,1.1425367632e+28,81410294.45999998,2.2600944356025584e+24,5055.261166091013
HD 145457 b,441.0,6.57226,Gas giant,2010,2.23,Jupiter,1.19,Jupiter,0.76,0.4826831,0.11,Radial velocity,708.6940000000001,13.338709999999999,4.232320568000001e+27,84980921.41,2.5707089894094093e+24,1646.3631571819133
HD 145675 c,58.0,6.61935,Gas giant,2021,4.98051,Jupiter,1.15,Jupiter,11.938641,43.1,0.39,Radial velocity,1582.806078,12.890349999999998,9.452517897816001e+27,82124419.85,2.3200938512437312e+24,4074.196348888557
HD 145934 b,743.0,8.495,Gas giant,2015,2.3994,Jupiter,1.18,Jupiter,4.888326,7.5,0.08,Radial velocity,762.52932,13.226619999999999,4.5538250990400003e+27,84266796.02,2.5064442775354255e+24,1816.846733779278
HD 1461 b,77.0,6.47933,Neptune-like,2010,6.44,Earth,0.216,Jupiter,0.0634,0.015879534,0.172,Radial velocity,6.44,2.421144,3.8459680000000006e+25,15425108.424,1.53735188784769e+22,2501.68359658009
HD 1461 c,77.0,6.47933,Neptune-like,2015,5.59,Earth,2.23,Earth,0.1117,0.036960986,0.305,Radial velocity,5.59,2.23,3.338348e+25,14207330.0,1.2012295679224412e+22,2779.109080518025
HD 147018 b,132.0,8.3,Gas giant,2009,2.12,Jupiter,1.19,Jupiter,0.2388,0.12101301,0.47,Radial velocity,673.7360000000001,13.338709999999999,4.023551392000001e+27,84980921.41,2.5707089894094093e+24,1565.1524184868413
HD 147018 c,132.0,8.3,Gas giant,2009,6.56,Jupiter,1.13,Jupiter,1.922,2.8,0.13,Radial velocity,2084.768,12.66617,1.2450234496e+28,80696169.07,2.201138461529071e+24,5656.2704771199
HD 147379 b,35.0,8.61,Neptune-like,2017,28.55,Earth,0.519,Jupiter,0.323,0.23764546,0.07,Radial velocity,28.55,5.817471,1.705006e+26,37063107.741000004,2.132623082961216e+23,799.4877358415084
HD 147513 b,42.0,5.37,Gas giant,2003,1.21,Jupiter,1.22,Jupiter,1.32,1.4,0.26,Radial velocity,384.538,13.67498,2.296460936e+27,87123297.58,2.770074976308525e+24,829.0248298839639
HD 147873 b,356.0,7.96,Gas giant,2016,5.14,Jupiter,1.15,Jupiter,0.522,0.3192334,0.21,Radial velocity,1633.492,12.890349999999998,9.755214224e+27,82124419.85,2.3200938512437312e+24,4204.663625469517
HD 147873 c,356.0,7.96,Gas giant,2016,2.3,Jupiter,1.19,Jupiter,1.36,1.3456537,0.23,Radial velocity,730.9399999999999,13.338709999999999,4.36517368e+27,84980921.41,2.5707089894094093e+24,1698.042718169686
HD 14787 b,389.0,7.63,Gas giant,2018,1.121,Jupiter,1.23,Jupiter,1.7,1.9,0.16,Radial velocity,356.2538,13.78707,2.1275476936000002e+27,87837422.97,2.838751432354644e+24,749.4660044381817
HD 148156 b,186.0,7.69,Gas giant,2009,0.85,Jupiter,1.24,Jupiter,2.45,2.8,0.52,Radial velocity,270.13,13.89916,1.6132163600000002e+27,88551548.36,2.9085537069343164e+24,554.6455463943857
HD 148164 b,252.0,8.23,Gas giant,2018,1.23,Jupiter,1.22,Jupiter,0.993,0.8996578,0.59,Radial velocity,390.894,13.67498,2.334418968e+27,87123297.58,2.770074976308525e+24,842.7277196341121
HD 148164 c,252.0,8.23,Gas giant,2018,5.16,Jupiter,1.15,Jupiter,6.15,13.9,0.13,Radial velocity,1639.8480000000002,12.890349999999998,9.793172256000001e+27,82124419.85,2.3200938512437312e+24,4221.024184323484
HD 148427 b,233.0,6.90498,Gas giant,2009,1.3,Jupiter,1.22,Jupiter,1.04,0.90759754,0.16,Radial velocity,413.14000000000004,13.67498,2.4672720800000004e+27,87123297.58,2.770074976308525e+24,890.6878337596307
HD 149026 b,247.0,8.15,Gas giant,2005,0.38,Jupiter,0.74,Jupiter,0.04364,0.007939767,0.0,Radial velocity,120.76400000000001,8.29466,7.21202608e+26,52845278.86,6.181689558815746e+23,1166.6755522711237
HD 149143 b,239.0,7.89,Gas giant,2005,1.33,Jupiter,1.22,Jupiter,0.053,0.011225188,0.02,Radial velocity,422.67400000000004,13.67498,2.5242091280000003e+27,87123297.58,2.770074976308525e+24,911.2421683848529
HD 149806 b,66.0,7.08308,Gas giant,2022,12.2018,Jupiter,1.1,Jupiter,12.278296,45.3,0.36,Radial velocity,3877.7320400000003,12.3299,2.3157815742880004e+28,78553792.9,2.030439658752631e+24,11405.320834358923
HD 150010 b,471.0,6.2893,Gas giant,2022,2.4,Jupiter,1.18,Jupiter,1.4,1.5,0.2,Radial velocity,762.72,13.226619999999999,4.5549638400000005e+27,84266796.02,2.5064442775354255e+24,1817.3010590440392
HD 1502 b,623.0,8.36,Gas giant,2011,2.75,Jupiter,1.18,Jupiter,1.262,1.173169,0.03,Radial velocity,873.95,13.226619999999999,5.219229400000001e+27,84266796.02,2.5064442775354255e+24,2082.324130154628
HD 150706 b,92.0,7.03,Gas giant,2012,2.71,Jupiter,1.18,Jupiter,6.7,16.1,0.38,Radial velocity,861.238,13.226619999999999,5.143313336e+27,84266796.02,2.5064442775354255e+24,2052.035779170561
HD 151450 b,142.0,7.43,Neptune-like,2022,37.24604,Earth,0.607,Jupiter,0.159926,0.05995893,0.5,Radial velocity,37.24604,6.803863,2.2243335088e+26,43347411.173,3.4117571099131706e+23,651.9612730745096
HD 151450 c,142.0,7.43,Gas giant,2022,5.14148,Jupiter,1.15,Jupiter,14.10056,49.7,0.14,Radial velocity,1633.962344,12.890349999999998,9.758023118368001e+27,82124419.85,2.3200938512437312e+24,4205.87430682471
HD 152079 b,287.0,9.18,Gas giant,2009,2.661,Jupiter,1.18,Jupiter,4.187,8.0,0.53,Radial velocity,845.6658,13.226619999999999,5.0503161576e+27,84266796.02,2.5064442775354255e+24,2014.9325492150783
HD 152581 b,541.0,8.38,Gas giant,2011,1.869,Jupiter,1.2,Jupiter,1.66,1.9,0.04,Radial velocity,593.9682,13.4508,3.5471780904000005e+27,85695046.8,2.636062907832115e+24,1345.6348404512023
HD 152843 b,352.0,8.855,Neptune-like,2021,11.56,Earth,0.304,Jupiter,0.1053,0.03175907,0.14,Transit,11.56,3.407536,6.9036320000000005e+25,21709411.856,4.285808707513002e+22,1610.811977654991
HD 152843 c,352.0,8.855,Neptune-like,2021,27.5,Earth,0.52,Jupiter,,0.06680356,0.12,Transit,27.5,5.82868,1.6423e+26,37134520.28,2.1449741512989476e+23,765.6502522445132
HD 15337 b,146.0,9.1,Super earth,2019,7.51,Earth,1.64,Earth,0.0522,0.013141684,0.09,Transit,7.51,1.64,4.484972e+25,10448440.0,4.777965050619276e+21,9386.782767317854
HD 15337 c,146.0,9.1,Super earth,2019,8.11,Earth,0.213,Jupiter,0.1268,0.047091037,0.05,Transit,8.11,2.387517,4.843292e+25,15210870.807,1.4741811115704692e+22,3285.41178691427
HD 153557 b,59.0,7.83,Neptune-like,2022,20.05856,Earth,0.422,Jupiter,0.068049,0.019986311,0.07,Radial velocity,20.05856,4.730198,1.1978972032000001e+26,30136091.457999997,1.1464348642515854e+23,1044.8890212197186
